city,X,집계년도,재산번호,재산구분명,재산종류명,행정재산구분명,회계구분명,산구분명,시군구명,읍면동명,리명,본번,부번,입력시스템명,실지목명,공부지목명,재산수량,재산면적,대장가액.원.,기준가액.원.,재산관리기관명,분임관리기관명,위임관리기관명,취득일자,취득승인여부,취득방법명,재산명칭,등록일자,address,longitude,latitude,avg_price
Gapyeong,124579,2015,118774,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,가평읍,개곡리,878,1,행정,답,dap,1,54,1015200,1015200,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,2002-12-30,Y,매입,,2008-01-17,경기도 가평군 가평읍 개곡리 878 - 1,127.5287,37.8733,18800
Gapyeong,124580,2015,85381,토지,행정재산,공공용재산,일반회계,산,경기도 가평군,북면,적목리,56,13,행정,도로,road,1,234,1170000,1170000,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,1997-01-10,Y,매입,도  로,2007-07-18,경기도 가평군 북면 적목리 56 - 13,127.447,37.9752,5000
Gapyeong,124581,2015,83461,토지,행정재산,공용재산,일반회계,일반,경기도 가평군,북면,적목리,57,0,행정,임야,forest,1,2783,5566000,31169600,경기도 경기도산림환경연구소,,,1979-09-26,Y,매입,임야,2007-07-18,경기도 가평군 북면 적목리 57 - 0,127.456,37.9919,2000
Gapyeong,124582,2015,83535,토지,행정재산,공용재산,일반회계,산,경기도 가평군,북면,적목리,57,0,행정,임야,forest,1,184008,255771120,171311448,경기도 경기도산림환경연구소,,,1960-08-01,Y,매입,임야,2007-07-18,경기도 가평군 북면 적목리 57 - 0,127.456,37.9919,1390
Gapyeong,124583,2015,83536,토지,행정재산,공용재산,일반회계,산,경기도 가평군,북면,적목리,57,1,행정,임야,forest,1,1132,635052,1867800,경기도 경기도산림환경연구소,,,1960-08-01,Y,매입,임야,2007-07-18,경기도 가평군 북면 적목리 57 - 1,127.4481,37.9754,561
Gapyeong,124584,2015,83537,토지,행정재산,공용재산,일반회계,산,경기도 가평군,북면,적목리,57,2,행정,임야,forest,1,116,65076,191400,경기도 경기도산림환경연구소,,,1960-08-01,Y,매입,임야,2007-07-18,경기도 가평군 북면 적목리 57 - 2,127.4486,37.9755,561
Gapyeong,124585,2015,85389,토지,행정재산,공공용재산,일반회계,산,경기도 가평군,북면,적목리,58,1,행정,도로,road,1,12406,48192600,48192600,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,1996-02-03,Y,매입,도  로,2007-07-18,경기도 가평군 북면 적목리 58 - 1,127.4499,37.9748,3884.620345
Gapyeong,124586,2015,85391,토지,행정재산,공공용재산,일반회계,산,경기도 가평군,북면,적목리,59,5,행정,도로,road,1,1254,4110700,4110700,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,1996-08-29,Y,매입,도  로,2007-07-18,경기도 가평군 북면 적목리 59 - 5,127.4522,37.9707,3278.070175
Gapyeong,124587,2015,85773,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,설악면,묵안리,465,3,행정,답,dap,1,784,6468000,6468000,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,1997-02-24,Y,매입,도  로,2007-07-18,경기도 가평군 설악면 묵안리 465 - 3,127.5241,37.6091,8250
Gapyeong,124588,2015,119077,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,설악면,묵안리,465,4,행정,답,dap,1,1232,28582400,28582400,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,2002-11-22,Y,매입,,2008-01-17,경기도 가평군 설악면 묵안리 465 - 4,127.524,37.6093,23200
