city,X,집계년도,재산번호,재산구분명,재산종류명,행정재산구분명,회계구분명,산구분명,시군구명,읍면동명,리명,본번,부번,입력시스템명,실지목명,공부지목명,재산수량,재산면적,대장가액.원.,기준가액.원.,재산관리기관명,분임관리기관명,위임관리기관명,취득일자,취득승인여부,취득방법명,재산명칭,등록일자,비고,address,longitude,latitude,avg_price
Namyangju,50038,2015,61649,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,별내면,광jeon리,410,1,행정,road,road,1,1239,2173780,2173780,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,1982-10-18,Y,매입,도  로,2007-07-18,[토지분류코드:GA202][관리dae장코드:2507246],경기도 남양주시 별내면 광jeon리 410 - 1,127.135,37.6799,1754.463277
Namyangju,112072,2015,61681,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,별내면,광jeon리,590,5,행정,road,road,1,814,1428130,1428130,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,1983-07-12,Y,매입,도  로,2007-07-18,[토지분류코드:GA202][관리dae장코드:2507278],경기도 남양주시 별내면 광jeon리 590 - 5,127.1344,37.6767,1754.459459
Namyangju,50040,2015,61651,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,별내면,광jeon리,411,1,행정,road,road,1,694,1217590,1217590,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,1982-10-18,Y,매입,도  로,2007-07-18,[토지분류코드:GA202][관리dae장코드:2507248],경기도 남양주시 별내면 광jeon리 411 - 1,127.1349,37.6793,1754.45245
Namyangju,50037,2015,61648,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,별내면,광jeon리,409,9,행정,road,road,1,383,671953,671953,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,1982-08-30,Y,매입,도  로,2007-07-18,[토지분류코드:GA202][관리dae장코드:2507245],경기도 남양주시 별내면 광jeon리 409 - 9,127.1351,37.6787,1754.446475
Namyangju,79270,2015,186971,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,별내면,광jeon리,409,19,행정,road,road,1,66,115793,115793,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,2013-09-17,Y,분할취득,도  로,2007-07-18,[토지분류코드:GA202][관리dae장코드:2507245],경기도 남양주시 별내면 광jeon리 409 - 19,127.135,37.6786,1754.439394
Namyangju,79269,2015,186970,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,별내면,광jeon리,409,18,행정,road,road,1,1,1754,1754,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,2013-09-17,Y,분할취득,도  로,2007-07-18,[토지분류코드:GA202][관리dae장코드:2507245],경기도 남양주시 별내면 광jeon리 409 - 18,127.1351,37.679,1754
Namyangju,40982,2015,61638,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,별내면,광jeon리,365,0,행정,road,road,1,34,59620,59620,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,1983-03-23,Y,매입,도  로,2007-07-18,[토지분류코드:GA202][관리dae장코드:2507235],경기도 남양주시 별내면 광jeon리 365 - 0,127.1356,37.6844,1753.529412
Namyangju,120829,2015,61633,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,별내면,광jeon리,359,9,행정,road,road,1,58,101130,101130,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,1982-08-30,Y,매입,도  로,2007-07-18,[토지분류코드:GA202][관리dae장코드:2507230],경기도 남양주시 별내면 광jeon리 359 - 9,127.1354,37.6819,1743.62069
Namyangju,98173,2015,175329,토지,행정재산,공공용재산,일반회계,산,경기도 남양주시,와부읍,월문리,337,1,이호조,road,road,1,1236,2146100,57766100,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,2012-04-23,Y,매입,road,2012-06-27,,경기도 남양주시 와부읍 월문리 337 - 1,127.252,37.6043,1736.326861
Namyangju,6939,2015,114145,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,별내동,,312,4,행정,jeon,jeon,1,1376,2368096,2368096,경기도 건설국 river과,,경기도 남양주시 환경녹지국 생태river과,2002-06-29,Y,매입,,2008-01-17,,경기도 남양주시 별내동  312 - 4,127.2143393,37.6360072,1721
Namyangju,82663,2015,59466,토지,행정재산,공용재산,일반회계,산,경기도 남양주시,수동면,입석리,103,1,행정,임야,forest,1,451339,776303080,776303080,경기도 경기도산림환경연구소,,,1963-12-31,Y,매입,임야,2007-07-18,[토지분류코드:GA105][관리dae장코드:3700486],경기도 남양주시 수동면 입석리 103 - 1,127.349,37.6932,1720
Namyangju,82807,2015,59830,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,수동면,입석리,240,8,행정,ddap,dap,1,1470,2528400,2528400,경기도 건설국 river과,,경기도 남양주시 환경녹지국 생태river과,1994-03-14,Y,매입,하  천,2007-07-18,[토지분류코드:GA202][관리dae장코드:2505427],경기도 남양주시 수동면 입석리 240 - 8,127.3391,37.6973,1720
Namyangju,82729,2015,59831,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,수동면,입석리,240,9,행정,ddap,dap,1,133,228760,228760,경기도 건설국 river과,,경기도 남양주시 환경녹지국 생태river과,1994-03-14,Y,매입,하  천,2007-07-18,[토지분류코드:GA202][관리dae장코드:2505428],경기도 남양주시 수동면 입석리 240 - 9,127.3389,37.6973,1720
Namyangju,82730,2015,59829,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,수동면,입석리,240,10,행정,ddap,dap,1,39,67080,67080,경기도 건설국 river과,,경기도 남양주시 환경녹지국 생태river과,1994-03-14,Y,매입,하  천,2007-07-18,[토지분류코드:GA202][관리dae장코드:2505426],경기도 남양주시 수동면 입석리 240 - 10,127.3392,37.6972,1720
Namyangju,103280,2015,61598,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,별내면,광jeon리,174,2,행정,road,road,1,195,333450,333450,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,1983-08-22,Y,매입,도  로,2007-07-18,[토지분류코드:GA201][관리dae장코드:2507195],경기도 남양주시 별내면 광jeon리 174 - 2,127.124,37.6994,1710
Namyangju,115605,2015,62148,토지,행정재산,공공용재산,일반회계,산,경기도 남양주시,수동면,송천리,105,5,행정,road,road,1,1706,2900200,2900200,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,1991-02-06,Y,매입,도  로,2007-07-18,[토지분류코드:GA211][관리dae장코드:2507745],경기도 남양주시 수동면 송천리 105 - 5,127.3249,37.6954,1700
Namyangju,115604,2015,62147,토지,행정재산,공공용재산,일반회계,산,경기도 남양주시,수동면,송천리,105,2,행정,road,road,1,1587,2697900,2697900,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,1991-05-22,Y,매입,도  로,2007-07-18,[토지분류코드:GA211][관리dae장코드:2507744],경기도 남양주시 수동면 송천리 105 - 2,127.3249,37.6953,1700
