"","sido","sigungu","total","grade1","grade2","grade2","out_A","out_B","out_C"
"179","전북","전주시완산구",2437,468,470,791,357,199,152
"180","전북","전주시덕진구",1341,245,271,483,165,112,65
"181","전북","군산시",2019,403,473,789,199,117,38
"182","전북","익산시",2493,400,564,994,344,107,84
"183","전북","정읍시",1637,191,281,604,293,229,39
"184","전북","남원시",1386,237,253,472,263,66,95
"185","전북","김제시",1158,192,285,476,114,53,38
"186","전북","완주군",1303,160,203,420,218,195,107
"187","전북","진안군",581,102,86,179,119,49,46
"188","전북","무주군",421,62,63,107,106,40,43
"189","전북","장수군",562,63,73,183,146,72,25
"190","전북","임실군",604,96,89,206,120,39,54
"191","전북","순창군",692,102,103,241,152,82,12
"192","전북","고창군",936,146,166,316,149,124,35
"193","전북","부안군",998,167,172,347,118,93,101
"194","전남"," 총계",22692,3102,3807,8302,3760,1684,2037
"195","전남","목포시",1396,190,259,523,207,130,87
"196","전남","여수시",2670,433,457,1095,443,123,119
"197","전남","순천시",1835,330,365,756,209,105,70
"198","전남","나주시",1211,127,241,518,194,81,50
"199","전남","광양시",1039,139,179,308,161,103,149
"200","전남","담양군",787,98,139,280,129,61,80
"201","전남","곡성군",698,85,118,245,114,52,84
"202","전남","구례군",371,57,66,130,47,43,28
"203","전남","고흥군",1216,233,258,480,131,71,43
"204","전남","보성군",803,87,113,287,238,48,30
"205","전남","화순군",1115,93,148,358,198,124,194
"206","전남","장흥군",844,127,114,320,188,36,59
"207","전남","강진군",746,103,127,273,126,58,59
"208","전남","해남군",1087,129,184,464,148,135,27
"209","전남","영암군",959,136,131,377,167,47,101
"210","전남","무안군",738,138,161,278,75,51,35
"211","전남","함평군",538,74,125,210,93,19,17
"212","전남","영광군",893,147,113,245,162,45,181
"213","전남","장성군",785,108,100,242,172,69,94
"214","전남","완도군",1171,132,176,453,206,76,128
"215","전남","진도군",730,55,102,222,132,114,105
"216","전남","신안군",1060,81,131,238,220,93,297
"217","경북"," 총계",22355,4505,4584,8780,2455,1280,751
"218","경북","포항시남구",1297,290,329,453,123,41,61
"219","경북","포항시북구",1452,220,327,740,101,48,16
"220","경북","경주시",2089,464,438,800,282,95,10
"221","경북","김천시",1376,258,314,512,169,102,21
"222","경북","안동시",1656,325,348,679,171,85,48
"223","경북","구미시",1439,372,300,587,105,28,47
"224","경북","영주시",1112,262,227,455,102,43,23
"225","경북","영천시",1020,199,221,436,102,39,23
"226","경북","상주시",1030,195,263,482,64,12,14
"227","경북","문경시",1075,239,236,406,101,37,56
"228","경북","경산시",1039,217,224,451,85,25,37
"229","경북","군위군",344,76,66,105,55,23,19
"230","경북","의성군",844,190,197,317,76,38,26
"231","경북","청송군",492,70,72,194,98,34,24
"232","경북","영양군",487,56,69,159,103,90,10
"233","경북","영덕군",612,104,91,160,117,132,8
"234","경북","청도군",776,150,139,267,97,44,79
"235","경북","고령군",535,95,80,203,91,27,39
"236","경북","성주군",639,119,111,227,99,51,32
"237","경북","칠곡군",907,241,157,290,76,44,99
"238","경북","예천군",760,136,156,302,88,68,10
"239","경북","봉화군",587,60,82,231,91,103,20
"240","경북","울진군",637,150,118,278,31,52,8
"241","경북","울릉군",150,17,19,46,28,19,21
"242","경남"," 총계",20080,3506,3862,7686,2518,1348,1160
"243","경남","창원시",1488,422,425,509,69,31,32
"244","경남","마산시",1736,394,409,717,133,41,42
"245","경남","진주시",1897,325,344,687,239,175,127
"246","경남","진해시",797,161,144,315,82,52,43
"247","경남","통영시",672,119,151,205,116,34,47
