name,sub2,clustercut,longitude,latitude
830,42415,3,127.183,37.5678
831,42416,3,127.1833,37.5673
832,149544,1,127.1907,37.5523
833,149546,1,127.1912,37.5529
835,109164,1,127.192,37.5547
836,42485,1,127.1916,37.5557
839,109156,1,127.1907,37.5563
840,42480,1,127.1902,37.5575
843,42533,3,127.1889,37.5501
846,42511,1,127.1901,37.5514
847,42515,1,127.1903,37.552
849,42788,1,127.1907,37.5519
850,42503,1,127.1907,37.5519
851,42793,1,127.1912,37.5519
854,188237,1,127.1904,37.5608
855,188239,1,127.1901,37.5601
856,109157,1,127.19,37.5602
857,109155,1,127.1904,37.5598
858,42479,1,127.1902,37.5593
859,42483,1,127.1912,37.5563
860,42541,1,127.1924,37.5545
862,42529,1,127.1921,37.5537
863,42429,1,127.189,37.5645
864,42423,1,127.1875,37.5656
865,42424,1,127.1876,37.5655
866,42425,1,127.1881,37.5654
867,42426,1,127.1884,37.5653
868,167533,1,127.1892,37.5647
869,42427,1,127.1892,37.5641
870,42428,1,127.1893,37.5634
871,42504,1,127.1906,37.5521
872,42505,1,127.1907,37.5519
873,42526,1,127.1918,37.5536
875,42583,1,127.2105,37.5607
876,42458,1,127.2084,37.5615
877,42459,1,127.2118,37.568
878,42460,1,127.201,37.5704
880,42586,1,127.2016,37.5701
881,42461,1,127.2016,37.5701
882,42588,1,127.2009,37.5709
883,42589,1,127.2007,37.5711
885,109036,1,127.2005,37.5714
886,109037,1,127.1979,37.5767
887,42593,1,127.1995,37.5725
888,42422,1,127.1875,37.5656
889,42421,1,127.1875,37.5656
890,42420,1,127.1867,37.5655
891,42430,1,127.1891,37.5634
892,42431,1,127.1889,37.5635
893,42432,1,127.189,37.5634
894,42433,1,127.1886,37.5652
895,42434,1,127.1882,37.5652
896,42435,1,127.1875,37.565
897,42436,1,127.1875,37.5652
898,109029,3,127.1838,37.567
899,190537,3,127.184,37.5669
900,42417,3,127.1842,37.5668
901,42418,3,127.1846,37.5663
902,42419,3,127.185,37.566
903,109031,3,127.1843,37.5666
904,42594,1,127.1997,37.5723
910,42462,1,127.2096,37.5719
911,152814,2,127.2314,37.4997
912,42452,1,127.1891,37.5634
913,42450,1,127.1889,37.5634
914,42451,1,127.1889,37.5634
915,42453,1,127.1897,37.5619
916,42454,1,127.1899,37.562
917,42467,1,127.2154,37.5382
918,109023,1,127.2295,37.5609
919,42554,1,127.2046,37.5596
920,42557,1,127.2099,37.5551
921,152225,1,127.2066,37.5358
922,152226,1,127.2059,37.5357
923,152227,1,127.2063,37.5356
924,167543,1,127.2063,37.5357
925,187523,1,127.2054,37.5355
926,152228,1,127.2051,37.5352
927,160132,1,127.2046,37.5345
928,42543,2,127.2314,37.5009
929,109090,2,127.231,37.5014
930,109132,2,127.222,37.5289
931,42447,3,127.182,37.5691
932,42444,3,127.1814,37.5693
933,42445,3,127.1812,37.5692
934,42448,3,127.1801,37.57
935,42449,3,127.179,37.5704
936,109133,2,127.2221,37.5289
937,189793,2,127.2219,37.5286
938,109134,2,127.2222,37.5287
939,189812,2,127.2218,37.5284
940,189810,2,127.2219,37.5285
941,189803,2,127.2218,37.5285
942,109135,2,127.2222,37.5275
943,152858,2,127.222,37.5268
944,152287,2,127.222,37.5261
945,189811,2,127.222,37.5261
946,109136,2,127.2224,37.5255
947,189815,2,127.2227,37.5252
948,189804,2,127.2226,37.525
949,109137,2,127.2224,37.5254
950,109138,2,127.2221,37.5255
952,189806,2,127.2221,37.5249
954,152270,2,127.2219,37.5242
955,152805,2,127.222,37.5241
956,152809,2,127.231,37.4993
957,152825,2,127.2306,37.4988
958,152812,2,127.2315,37.4999
959,42437,1,127.186,37.5656
960,42438,3,127.1847,37.566
961,109033,3,127.1843,37.5663
962,42439,3,127.1833,37.567
963,109034,3,127.184,37.5666
964,42440,3,127.1832,37.5671
965,109035,3,127.1836,37.567
966,42441,3,127.1829,37.5675
967,42442,3,127.1826,37.5679
968,42443,3,127.1809,37.5693
969,42446,3,127.1815,37.5694
970,123331,2,127.222,37.5228
971,189789,2,127.2219,37.5227
972,123356,2,127.2299,37.5083
973,109195,2,127.2299,37.5079
975,109197,2,127.2299,37.5067
976,109198,2,127.23,37.507
977,109199,2,127.23,37.5067
978,123352,2,127.2298,37.5066
979,109200,2,127.23,37.5075
980,109201,2,127.2298,37.5062
981,109202,2,127.2299,37.5063
982,109203,2,127.2299,37.506
983,109204,2,127.2297,37.5059
984,109205,2,127.23,37.5056
985,123364,2,127.2301,37.5063
986,109206,2,127.23,37.5067
987,109207,2,127.2301,37.5067
988,123350,2,127.2302,37.5077
989,42500,2,127.2292,37.5042
991,109209,2,127.2292,37.5043
992,109038,1,127.2097,37.5719
993,109039,1,127.2093,37.5721
994,42463,1,127.2094,37.5722
995,42600,1,127.2063,37.5759
997,42603,1,127.2051,37.578
998,42604,1,127.2036,37.58
999,42605,1,127.2008,37.582
1000,42606,1,127.1988,37.5813
1001,42805,1,127.1988,37.5793
1002,189792,2,127.2219,37.5229
1003,189824,2,127.2225,37.5231
1004,123307,1,127.2048,37.5348
1005,152229,1,127.2045,37.5345
1008,152764,1,127.2051,37.5349
1009,160150,1,127.2052,37.5349
1010,160151,1,127.2053,37.5348
1011,160126,1,127.2044,37.5342
1012,109024,1,127.2041,37.534
1013,160127,1,127.2041,37.5339
1014,109025,1,127.2041,37.5341
1015,187524,1,127.2037,37.5337
1016,187525,1,127.2036,37.5335
1017,152230,1,127.2033,37.5332
1018,160133,1,127.2031,37.5329
1019,152231,1,127.2031,37.533
1020,152232,1,127.203,37.5328
1021,160153,1,127.2029,37.5335
1022,160154,1,127.2025,37.5331
1023,42455,1,127.1893,37.5634
1024,42456,1,127.1896,37.5634
1025,42457,1,127.1902,37.5606
1026,190982,1,127.19,37.5601
1027,123363,2,127.2293,37.5067
1028,123362,2,127.2295,37.5069
1032,142346,2,127.2296,37.5072
1033,123351,2,127.2296,37.5074
1034,109190,2,127.2265,37.5108
1035,109139,2,127.2221,37.5231
1036,109140,2,127.2225,37.5226
1037,152259,2,127.2223,37.5226
1038,109141,2,127.2224,37.5231
1039,109142,2,127.2223,37.524
1040,152811,2,127.2224,37.5238
1042,123359,2,127.2291,37.5101
1043,123343,2,127.2286,37.5106
1044,123344,2,127.2286,37.5104
1045,152832,2,127.2287,37.5103
1046,123358,2,127.2289,37.5102
1047,109188,2,127.2282,37.5105
1048,142345,2,127.2276,37.5107
1049,123357,2,127.2275,37.5108
1050,142344,2,127.2265,37.5109
1051,152258,2,127.2264,37.5109
1052,109189,2,127.227,37.5108
1053,152261,2,127.2263,37.5109
1057,42653,2,127.2365,37.5417
1069,42801,2,127.2243,37.5119
1070,109217,2,127.2268,37.5105
1071,42501,2,127.224,37.5116
1072,186684,2,127.2233,37.5244
1073,42832,2,127.2231,37.5252
1075,42833,2,127.2233,37.5248
1076,42834,2,127.2233,37.5245
1077,109218,2,127.2275,37.5104
1078,152265,2,127.2277,37.5104
1079,109219,2,127.228,37.5103
1080,152264,2,127.2283,37.5102
1081,123342,2,127.2284,37.5101
1082,109220,2,127.2285,37.5101
1083,109221,2,127.2286,37.51
1084,109222,2,127.2288,37.5098
1085,123345,2,127.2289,37.5097
1086,123346,2,127.2291,37.5096
1087,142351,2,127.2293,37.5094
1088,123348,2,127.2295,37.5091
1089,123349,2,127.2297,37.5087
1090,142352,2,127.2298,37.5084
1091,152279,2,127.2298,37.5077
1099,109118,2,127.2379,37.5422
