"asset_ID","longitude","latitude","size_factor","valueBysize1","valueBysize2","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
180537,126.8263,37.6036,"4",5.57,5.57,0,3,2,1,0,4,5,0,1,2,2,0,4,0,109,17,0,0
58002,126.826,37.6035,"1",1.37,1.37,0,3,2,1,1,4,5,0,1,2,2,0,4,0,112,17,0,0
58003,126.8268,37.6036,"4",1.37,1.37,0,3,2,1,0,3,5,0,1,2,2,0,4,0,103,17,0,0
58004,126.8269,37.6033,"4",1.37,1.37,0,3,2,1,0,3,5,0,1,2,2,0,4,0,103,17,0,0
180538,126.8265,37.6033,"4",5.74,5.74,0,3,2,1,0,4,5,0,1,2,2,0,4,0,108,17,0,0
58005,126.827,37.6031,"3",1.37,1.37,0,3,2,1,0,3,5,0,1,2,2,0,4,0,102,17,0,0
180539,126.8267,37.603,"4",5.74,5.74,0,3,2,1,0,4,5,0,1,2,2,0,4,0,107,17,0,0
58006,126.8272,37.6029,"1",1.37,1.37,0,3,2,1,0,3,5,0,1,2,2,0,4,0,99,17,0,0
169382,126.7824,37.6298,"2",14.8,14.8,0,4,0,0,1,0,2,0,0,0,6,0,1,0,26,4,2,0
57954,126.8255,37.6042,"1",1.5,1.5,0,3,2,1,1,4,5,0,1,2,2,0,3,0,116,17,0,0
57955,126.8252,37.604,"2",1.5,1.5,0,3,2,1,2,4,5,0,1,2,2,0,3,0,124,18,0,0
57956,126.8251,37.604,"1",1.5,1.5,0,3,2,1,2,4,5,0,1,2,2,0,3,0,124,18,0,0
57957,126.8251,37.6035,"1",1.5,1.5,0,3,2,1,2,5,5,0,1,2,2,0,4,0,126,18,0,0
57958,126.825,37.6039,"4",1.5,1.5,0,3,2,1,2,4,5,0,1,2,2,0,3,0,126,18,0,0
170120,126.7644,37.6376,"1",82.6,82.6,0,7,0,0,2,0,9,0,1,0,7,1,0,0,38,2,0,1
170122,126.7647,37.6375,"1",66,66,0,7,0,0,2,0,9,0,1,0,7,1,0,0,38,2,0,1
112172,126.862,37.6128,"1",4.29,4.29,0,1,1,0,2,1,6,0,0,0,4,1,4,0,27,3,0,0
112173,126.8617,37.6126,"1",12.2,12.2,0,1,1,0,3,1,6,0,0,0,4,1,4,0,28,3,0,0
55445,126.8615,37.6124,"2",0.99,0.99,0,1,1,0,3,1,6,0,0,0,4,1,4,0,28,3,0,0
112174,126.8618,37.6127,"1",4.29,4.29,0,1,1,0,3,1,6,0,0,0,4,1,4,0,28,3,0,0
55446,126.8613,37.6123,"2",0.99,0.99,0,1,2,0,3,1,7,0,0,0,4,1,4,0,28,3,0,0
112175,126.861,37.6111,"1",15.3,15.3,0,1,1,0,3,1,6,0,0,0,4,1,4,0,24,3,0,0
58990,126.8549,37.6133,"1",2.89,2.89,0,2,14,3,19,4,4,1,1,0,14,0,7,0,51,6,9,2
56332,126.8559,37.6131,"1",3,3,0,1,10,3,15,3,5,0,1,0,12,0,7,0,31,4,6,2
56926,126.8591,37.6481,"2",1.52,1.52,0,2,1,0,0,2,1,0,0,2,0,2,6,1,40,1,0,0
56925,126.8599,37.6482,"3",2.096,2.096,0,2,1,0,0,2,1,0,0,2,2,2,6,1,39,1,0,0
