"","asset_ID","longitude","latitude","size_factor","valueBysize1","valueBysize2","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
"x118",164521,127.5563,37.8973,"2",1.3,1.3,0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,0,0
"x119",164522,127.5563,37.8972,"2",0.594,0.594,0,0,0,0,0,1,0,0,0,0,0,0,0,17,4,0,0,0
"x120",164524,127.5563,37.8974,"1",1.73,1.73,0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,0,0
"x121",164525,127.5557,37.8973,"1",0.429,0.429,0,0,0,0,0,1,0,0,0,0,0,0,0,16,4,0,0,0
"x122",164527,127.5559,37.8972,"1",0.594,0.594,0,0,0,0,0,1,0,0,0,0,0,0,0,16,4,0,0,0
"x123",165521,127.5558,37.8973,"1",2.28,2.28,0,0,0,0,0,1,0,0,0,0,0,0,0,16,4,0,0,0
"x124",165522,127.5555,37.8973,"1",2.28,2.28,0,0,0,0,0,1,0,0,0,0,0,0,0,16,4,0,0,0
"x125",164528,127.5521,37.8974,"1",2.37,2.37,0,0,0,0,0,1,0,0,0,0,1,0,0,13,7,0,0,0
"x126",118923,127.5501,37.8951,"1",1.63,1.63,0,0,0,0,0,3,0,0,0,0,2,0,0,12,25,0,0,1
"x127",118924,127.5502,37.895,"1",0.363,0.363,0,0,0,0,0,3,0,0,0,0,2,0,0,12,25,0,0,1
"x128",118925,127.5507,37.895,"4",0.363,0.363,0,0,0,0,0,3,0,0,0,0,2,0,0,12,24,0,0,1
"x129",185827,127.5593,37.8988,"1",7.15,7.15,0,0,0,0,0,1,0,0,0,0,0,0,0,20,4,0,0,0
"x130",183139,127.5593,37.8988,"1",7.15,7.325,0,0,0,0,0,1,0,0,0,0,0,0,0,20,4,0,0,0
"x131",164529,127.5538,37.8973,"1",1.92,1.92,0,0,0,0,0,1,0,0,0,0,0,0,0,13,6,0,0,0
"x132",164530,127.5589,37.8981,"2",1.92,1.92,0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,0,0
"x133",164531,127.555,37.8973,"1",1.92,1.92,0,0,0,0,0,1,0,0,0,0,0,0,0,14,5,0,0,0
"x134",85039,127.5473,37.8899,"1",9.6,9.6,1,1,0,0,0,3,1,0,0,0,4,4,6,23,28,0,0,1
