"집계년도","asset_ID","재산구분명","재산종류명","행정재산구분명","산구분명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득방법명","재산명칭","등록일자","비고","address","longitude","latitude","size_factor","valueBysize1","valueBysize2","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
2015,97858,"토지","행정재산","공공용재산","산","임야","임야",1,68,4624000,4624000,"경기도 건설국 도로정책과","","경기도 수원시 교통건설국 도로과","1998-12-23","매입","","2008-01-17","","경기도 수원시 영통구 영통동  38 - 3",127.081,37.2483,"1",6.8,6.8,34,461,919,127,1573,294,89,10,272,58,1424,71,108,201,8099,1088,773,264
2015,97859,"토지","행정재산","공공용재산","산","임야","임야",1,60,5916000,5916000,"경기도 건설국 도로정책과","","경기도 수원시 교통건설국 도로과","1998-12-23","매입","","2008-01-17","","경기도 수원시 영통구 영통동  38 - 4",127.0815,37.2487,"1",9.86,9.86,34,457,913,125,1556,292,88,10,271,58,1406,71,109,191,8031,1080,760,259
2015,97863,"토지","행정재산","공공용재산","산","임야","임야",1,701,47668000,47668000,"경기도 건설국 도로정책과","","경기도 수원시 교통건설국 도로과","1998-12-23","매입","","2008-01-17","","경기도 수원시 영통구 영통동  40 - 9",127.08,37.2476,"3",6.8,6.8,35,471,932,128,1603,297,87,9,277,59,1451,70,108,208,8273,1096,782,263
2015,51,"토지","행정재산","공용재산","산","임야","임야",1,198,300960000,148500000,"경기도 경제실 기업지원과","","","1998-03-10","매입","중기지원센터","2007-03-28","[토지분류코드:GA105][관리대장코드:600002]","경기도 수원시 영통구 이의동  135 - 14",127.0424,37.2905,"1",152,75,38,640,1092,166,1993,450,95,11,390,81,2091,150,86,470,11737,1493,1172,448
2015,50,"토지","행정재산","공용재산","산","임야","임야",1,2794,4246880000,2095500000,"경기도 경제실 기업지원과","","","1998-12-08","매입","중기지원센터","2008-02-12","[토지분류코드:GA105][관리대장코드:600001]","경기도 수원시 영통구 이의동  135 - 13",127.0419,37.2908,"4",152,75,38,634,1086,164,1987,447,94,11,386,81,2090,150,86,469,11713,1489,1137,444
2015,91090,"토지","행정재산","공용재산","일반","대","대",1,380,577600000,1.9e+08,"경기도 경제실 과학기술과","","","2006-12-21","기부채납","나노소자특화팹센터","2007-11-19","나노소자특화팹센터 무상사용허가","경기도 수원시 영통구 이의동  1171 - 1",127.0421,37.2938,"2",152,50,33,607,1048,159,1883,428,88,10,363,78,2007,143,91,466,11293,1413,1064,424
2015,191,"토지","행정재산","공용재산","일반","대","대",1,58,5258660,5258660,"경기도 경제실 과학기술과","","","2005-03-15","매입","산학연R&D단지","2007-07-18","[토지분류코드:GA165][관리대장코드:5300111]","경기도 수원시 영통구 이의동  1171 - 2",127.0428,37.2941,"1",9.06665517241379,9.06665517241379,33,609,1044,160,1886,424,87,10,362,78,1997,144,92,466,11259,1413,1059,421
2015,192,"토지","행정재산","공용재산","일반","대","대",1,178,12816000,12816000,"경기도 경제실 과학기술과","","","2005-03-15","매입","산학연R&D단지","2009-08-24","[토지분류코드:GA166][관리대장코드:5300112]","경기도 수원시 영통구 이의동  1171 - 3",127.0414,37.2938,"1",7.2,7.2,33,607,1043,160,1878,429,89,10,362,78,2004,144,92,465,11294,1414,1064,421
2015,180364,"토지","행정재산","공용재산","일반","대","대",1,702.7,542758502,542758502,"경기도 경제실 과학기술과","","","2012-12-10","교환취득","산학연R&D단지","2013-04-08","","경기도 수원시 영통구 이의동  1292",127.0415,37.2951,"3",77.2390069731037,77.2390069731037,32,598,1014,158,1853,425,85,10,360,79,1966,144,92,465,11170,1408,1048,419
2015,180365,"토지","행정재산","공용재산","일반","대","대",1,82.7,63876658,63876658,"경기도 경제실 과학기술과","","","2012-12-10","교환취득","산학연R&D단지","2013-04-08","","경기도 수원시 영통구 이의동  1292 - 1",127.0432,37.2951,"1",77.2390060459492,77.2390060459492,32,596,1004,160,1848,419,83,9,352,77,1955,142,92,467,11059,1392,1041,416
2015,180366,"토지","행정재산","공용재산","일반","대","대",1,10,7723900,7723900,"경기도 경제실 과학기술과","","","2012-12-10","교환취득","산학연R&D단지","2013-04-08","","경기도 수원시 영통구 이의동  1292 - 2",127.0435,37.295,"1",77.239,77.239,33,596,1005,159,1854,419,85,9,349,76,1954,143,92,466,11052,1388,1044,417
2015,180367,"토지","행정재산","공용재산","일반","대","대",1,452.5,349506507,349506507,"경기도 경제실 과학기술과","","","2012-12-10","교환취득","산학연R&D단지","2013-04-08","","경기도 수원시 영통구 이의동  1292 - 3",127.0447,37.2955,"2",77.2390070718232,77.2390070718232,32,586,998,157,1826,411,86,7,342,72,1932,141,91,462,10858,1369,1023,412
2015,180368,"토지","행정재산","공용재산","일반","대","대",1,3.7,2857843,2857843,"경기도 경제실 과학기술과","","","2012-12-10","교환취득","산학연R&D단지","2013-04-08","","경기도 수원시 영통구 이의동  1292 - 4",127.047,37.295,"1",77.239,77.239,32,573,995,155,1800,408,85,8,342,72,1904,139,89,442,10530,1327,994,400
