"집계년도","asset_ID","재산구분명","재산종류명","행정재산구분명","산구분명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득방법명","재산명칭","등록일자","비고","address","longitude","latitude","size_factor","valueBysize1","valueBysize2","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
2015,187572,"토지","행정재산","공공용재산","일반","답","답",1,830,73040000,73040000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2014-02-20","누락재산등록","하천","2014-11-04","","경기도 시흥시 안현동  550 - 9",126.8042,37.4216,"3",8.8,8.8,10,110,216,43,330,60,59,1,38,14,443,19,58,30,2460,150,145,62
2015,187570,"토지","행정재산","공공용재산","일반","답","답",1,1340,117920000,117920000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2014-02-20","누락재산등록","하천","2014-11-04","","경기도 시흥시 안현동  550 - 10",126.8045,37.4219,"4",8.8,8.8,10,109,214,41,320,60,58,1,37,14,440,18,59,30,2441,151,144,62
2015,187573,"토지","행정재산","공공용재산","일반","답","답",1,560,49280000,49280000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2014-02-20","누락재산등록","하천","2014-11-04","","경기도 시흥시 안현동  557 - 12",126.8047,37.4221,"3",8.8,8.8,10,109,213,41,316,60,58,1,37,14,439,18,58,30,2437,151,144,62
2015,14082,"토지","행정재산","공용재산","산","임야","임야",1,30446,715481000,508448200,"경기도 축산산림국 산림과","","경기도 시흥시 환경국 산림공원과","1994-07-15","매입","임야","2007-07-18","[토지분류코드:GA105][관리대장코드:1200013]","경기도 시흥시 매화동  30",126.8189,37.4206,"4",2.35,1.67,10,102,197,38,297,62,59,0,33,13,423,17,61,29,2336,142,130,59
2015,100912,"토지","행정재산","공공용재산","일반","전","전",1,65,5921500,5921500,"경기도 건설국 도로정책과","","경기도 시흥시 도시교통국 도로과","2005-10-24","매입","매화동 277-8번지","2008-01-17","","경기도 시흥시 매화동  277 - 8",126.8162,37.4128,"1",9.11,9.11,10,112,234,41,377,72,55,0,41,12,468,27,58,30,2569,167,154,72
2015,14700,"토지","일반재산","미등록","일반","잡종지","대",1,180.7,110588400,110588400,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2002-11-04","양여","폐천부지","2008-01-25","매각진행중('04.폐천부지 매각)","경기도 시흥시 신천동  844 - 3",126.7823,37.4365,"1",61.2,61.2,15,187,381,68,568,96,46,4,74,22,727,34,77,36,3898,289,257,117
2015,155081,"토지","행정재산","공공용재산","산","임야","임야",1,307,9620000,9620000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2009-07-06","누락재산등록","임야","2010-06-10","","경기도 시흥시 방산동  1 - 6",126.7557,37.4136,"2",3.13355048859935,3.13355048859935,19,223,393,68,610,178,54,8,87,17,706,38,49,88,4447,350,311,116
2015,164600,"토지","행정재산","공공용재산","일반","답","답",1,21,762300,762300,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2009-07-15","누락재산등록","하천","2011-07-18","","경기도 시흥시 방산동  3 - 1",126.772,37.4301,"1",3.63,3.63,13,186,360,57,522,111,45,6,73,19,710,29,68,55,4128,298,265,115
2015,164607,"토지","행정재산","공공용재산","산","임야","임야",1,183,2854800,2854800,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2010-05-04","누락재산등록","하천","2011-07-18","","경기도 시흥시 방산동  116 - 3",126.7817,37.4289,"1",1.56,1.56,12,142,309,51,413,88,45,3,54,20,540,21,67,34,3085,223,200,87
2015,164608,"토지","행정재산","공공용재산","산","임야","임야",1,91,1419600,1419600,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2010-05-04","누락재산등록","하천","2011-07-18","","경기도 시흥시 방산동  116 - 4",126.7812,37.4285,"1",1.56,1.56,12,142,307,51,416,92,45,3,55,20,535,22,67,36,3121,222,202,86
