"asset_ID","재산번호","재산구분명","재산종류명","행정재산구분명","산구분명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득방법명","재산명칭","등록일자","비고","address","longitude","latitude","size_factor","valueBysize1","valueBysize2","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
2015,143745,"토지","행정재산","공공용재산","일반","공장용지","공장용지",1,331,154246000,154246000,"경기도 건설국 도로정책과","","경기도 광주시 안전도시국 건설과","2008-05-15","매입","경기도 광주시 오포읍 문형리 일반번지 620-5번지","2010-01-22","","경기도 광주시 오포읍 문형리 620 - 5",127.2025,37.3363,"2",46.6,46.6,5,82,71,7,60,41,32,0,18,8,202,9,48,10,803,78,29,22
2015,96398,"토지","행정재산","공공용재산","일반","전","전",1,286,80938000,80938000,"경기도 건설국 하천과","","경기도 광주시 안전도시국 건설과","2003-10-07","매입","하천","2007-07-18","[토지분류코드:][관리대장코드:1629521]","경기도 광주시 오포읍 문형리 386 - 9",127.2173,37.3443,"1",28.3,28.3,4,83,108,13,69,41,28,0,16,4,220,8,57,10,746,60,26,23
2015,106700,"토지","행정재산","공공용재산","일반","하천","하천",1,3213,48837600,48837600,"경기도 건설국 하천과","","경기도 광주시 안전도시국 건설과","2000-02-07","매입","","2009-12-17","","경기도 광주시 오포읍 문형리 387",127.2164,37.3428,"4",1.52,1.52,4,82,90,12,64,39,28,0,17,4,212,8,55,10,733,60,23,21
2015,106702,"토지","행정재산","공공용재산","일반","하천","하천",1,5285,80332000,80332000,"경기도 건설국 하천과","","경기도 광주시 안전도시국 건설과","2000-02-07","매입","","2009-12-31","","경기도 광주시 오포읍 문형리 388 - 5",127.2166,37.3434,"4",1.52,1.52,4,82,98,13,66,39,28,0,17,4,214,8,56,10,737,60,23,21
2015,35120,"토지","행정재산","공공용재산","일반","잡종지","잡종지",1,229,68013000,68013000,"경기도 건설국 도로정책과","","경기도 광주시 안전도시국 건설과","2005-02-25","매입","도로","2007-07-18","[토지분류코드:][관리대장코드:1632529]","경기도 광주시 오포읍 문형리 632 - 2",127.1979,37.3363,"1",29.7,29.7,5,79,71,7,65,41,31,0,17,8,213,8,46,10,804,82,30,22
2015,106703,"토지","행정재산","공공용재산","일반","잡종지","잡종지",1,56,19880000,19880000,"경기도 건설국 하천과","","경기도 광주시 안전도시국 건설과","2000-03-10","매입","","2008-01-17","","경기도 광주시 오포읍 문형리 388 - 6",127.217,37.3439,"1",35.5,35.5,4,84,103,13,68,40,28,0,17,4,218,8,57,10,744,61,25,22
2015,106704,"토지","행정재산","공공용재산","일반","잡종지","잡종지",1,10,3550000,3550000,"경기도 건설국 하천과","","경기도 광주시 안전도시국 건설과","2000-03-10","매입","","2008-01-17","","경기도 광주시 오포읍 문형리 388 - 7",127.2167,37.3436,"1",35.5,35.5,4,84,98,13,68,39,28,0,17,4,217,8,56,10,740,61,24,22
2015,106701,"토지","행정재산","공공용재산","일반","잡종지","잡종지",1,173,2629600,2629600,"경기도 건설국 하천과","","경기도 광주시 안전도시국 건설과","2004-12-21","매입","","2009-12-31","","경기도 광주시 오포읍 문형리 388 - 16",127.217,37.344,"1",1.52,1.52,4,84,104,13,68,40,28,0,17,4,218,8,57,10,744,61,25,22
2015,106705,"토지","행정재산","공공용재산","일반","임야","임야",1,3990,79002000,79002000,"경기도 건설국 하천과","","경기도 광주시 안전도시국 건설과","1999-09-01","매입","","2008-01-17","","경기도 광주시 오포읍 문형리 389 - 5",127.2144,37.3416,"4",1.98,1.98,4,83,89,11,61,40,28,0,19,4,209,8,56,10,735,60,23,21
2015,143764,"토지","행정재산","공공용재산","일반","공장용지","공장용지",1,492,229272000,229272000,"경기도 건설국 도로정책과","","경기도 광주시 안전도시국 건설과","2008-05-27","매입","경기도 광주시 오포읍 문형리 일반번지 620-10번지","2010-01-22","","경기도 광주시 오포읍 문형리 620 - 10",127.2027,37.3363,"2",46.6,46.6,5,81,71,7,60,41,31,0,18,8,201,9,49,10,796,78,29,22
2015,146012,"토지","행정재산","공공용재산","일반","잡종지","잡종지",1,319,142114500,142114500,"경기도 건설국 도로정책과","","경기도 광주시 안전도시국 건설과","2008-06-13","매입","오포~포곡(2)","2010-01-22","","경기도 광주시 오포읍 문형리 620 - 11",127.2023,37.3363,"2",44.55,44.55,5,82,71,7,60,41,32,0,18,8,199,9,48,10,799,78,29,23
2015,35118,"토지","행정재산","공공용재산","일반","공장용지","공장용지",1,665,220780000,220780000,"경기도 건설국 도로정책과","","경기도 광주시 안전도시국 건설과","2005-02-23","매입","도로","2007-07-18","[토지분류코드:][관리대장코드:1632527]","경기도 광주시 오포읍 문형리 621 - 9",127.2025,37.336,"3",33.2,33.2,5,80,71,7,59,42,31,0,18,8,197,9,48,10,796,78,28,22
2015,35123,"토지","행정재산","공공용재산","일반","답","답",1,365,78475000,78475000,"경기도 건설국 도로정책과","","경기도 광주시 안전도시국 건설과","2005-01-12","매입","도로","2007-07-18","[토지분류코드:][관리대장코드:1632532]","경기도 광주시 오포읍 문형리 625 - 1",127.1999,37.3354,"2",21.5,21.5,5,82,68,8,62,42,32,0,17,8,203,9,48,10,818,82,30,22
2015,35103,"토지","행정재산","공공용재산","일반","종교용지","종교용지",1,86,25714000,25714000,"경기도 건설국 도로정책과","","경기도 광주시 안전도시국 건설과","2005-04-13","매입","도로","2007-07-18","[토지분류코드:][관리대장코드:1632512]","경기도 광주시 오포읍 문형리 625 - 2",127.1997,37.3353,"1",29.9,29.9,5,81,69,8,62,42,31,0,18,8,202,8,48,10,817,82,30,22
2015,143744,"토지","행정재산","공공용재산","일반","답","답",1,18,5832000,5832000,"경기도 건설국 도로정책과","","경기도 광주시 안전도시국 건설과","2008-05-19","매입","경기도 광주시 오포읍 문형리 일반번지 625-7번지","2010-01-22","","경기도 광주시 오포읍 문형리 625 - 7",127.1999,37.3355,"1",32.4,32.4,5,82,69,8,62,43,32,0,18,8,203,9,48,10,818,82,30,22
2015,35102,"토지","행정재산","공공용재산","일반","종교용지","종교용지",1,612,182988000,183633700,"경기도 건설국 도로정책과","","경기도 광주시 안전도시국 건설과","2005-04-13","매입","도로","2007-07-18","[토지분류코드:][관리대장코드:1632511]","경기도 광주시 오포읍 문형리 626",127.1996,37.3352,"3",29.9,30.0055065359477,5,81,69,8,62,42,31,0,18,8,202,8,48,10,816,82,30,22
2015,35109,"토지","행정재산","공공용재산","일반","잡종지","잡종지",1,50,14450000,14450000,"경기도 건설국 도로정책과","","경기도 광주시 안전도시국 건설과","2005-03-29","매입","도로","2007-07-18","[토지분류코드:][관리대장코드:1632518]","경기도 광주시 오포읍 문형리 627 - 5",127.1996,37.3356,"1",28.9,28.9,5,81,70,8,62,43,31,0,18,8,206,9,47,10,817,82,30,22
2015,35114,"토지","행정재산","공공용재산","일반","잡종지","잡종지",1,444,126318000,126318000,"경기도 건설국 도로정책과","","경기도 광주시 안전도시국 건설과","2005-01-15","매입","도로","2007-07-18","[토지분류코드:][관리대장코드:1632523]","경기도 광주시 오포읍 문형리 628 - 6",127.1989,37.3357,"2",28.45,28.45,5,79,69,7,65,43,31,0,17,8,210,8,47,10,825,85,31,22
2015,35112,"토지","행정재산","공공용재산","일반","답","답",1,43,7826000,17408000,"경기도 건설국 도로정책과","","경기도 광주시 안전도시국 건설과","2005-01-15","매입","도로","2007-07-18","[토지분류코드:][관리대장코드:1632521]","경기도 광주시 오포읍 문형리 628 - 7",127.1986,37.3359,"1",18.2,40.4837209302326,5,79,69,7,65,43,31,0,17,8,214,8,47,10,819,85,30,22
2015,35113,"토지","행정재산","공공용재산","일반","전","전",1,484,88088000,88088000,"경기도 건설국 도로정책과","","경기도 광주시 안전도시국 건설과","2005-01-15","매입","도로","2007-07-18","[토지분류코드:][관리대장코드:1632522]","경기도 광주시 오포읍 문형리 628 - 8",127.1988,37.3357,"2",18.2,18.2,5,79,69,7,65,43,31,0,17,8,214,8,47,10,823,85,30,22
2015,35115,"토지","행정재산","공공용재산","일반","전","전",1,47,8554000,8554000,"경기도 건설국 도로정책과","","경기도 광주시 안전도시국 건설과","2005-01-15","매입","도로","2007-07-18","[토지분류코드:][관리대장코드:1632524]","경기도 광주시 오포읍 문형리 628 - 9",127.1991,37.3357,"1",18.2,18.2,5,79,70,7,64,43,31,0,17,8,210,8,47,10,827,84,31,22
2015,35096,"토지","행정재산","공공용재산","일반","전","전",1,985,211775000,211775000,"경기도 건설국 도로정책과","","경기도 광주시 안전도시국 건설과","2005-05-24","매입","도로","2007-07-18","[토지분류코드:][관리대장코드:1632505]","경기도 광주시 오포읍 문형리 630 - 3",127.1982,37.336,"3",21.5,21.5,5,79,69,7,65,41,31,0,17,8,211,8,48,10,809,83,30,22
2015,106734,"토지","행정재산","공공용재산","일반","전","전",1,218,31392000,31392000,"경기도 건설국 도로정책과","","경기도 광주시 안전도시국 건설과","2004-12-27","매입","","2008-01-17","","경기도 광주시 오포읍 문형리 631",127.198,37.3359,"1",14.4,14.4,5,77,69,7,65,41,31,0,17,8,211,8,48,10,809,84,30,22
2015,35117,"토지","행정재산","공공용재산","일반","잡종지","잡종지",1,921,273537000,273537000,"경기도 건설국 도로정책과","","경기도 광주시 안전도시국 건설과","2005-02-25","매입","도로","2007-07-18","[토지분류코드:][관리대장코드:1632526]","경기도 광주시 오포읍 문형리 632 - 1",127.1979,37.3362,"3",29.7,29.7,5,79,71,7,65,41,31,0,17,8,213,8,47,10,803,83,30,22
2015,35134,"토지","행정재산","공공용재산","일반","전","전",1,11,2244000,2244000,"경기도 건설국 도로정책과","","경기도 광주시 안전도시국 건설과","2005-01-15","매입","도로","2007-07-18","[토지분류코드:][관리대장코드:1632543]","경기도 광주시 오포읍 문형리 611 - 7",127.2028,37.3362,"1",20.4,20.4,5,81,72,7,59,41,31,0,18,8,201,9,50,10,795,76,28,22
2015,35122,"토지","행정재산","공공용재산","일반","답","답",1,37,6937500,6937500,"경기도 건설국 도로정책과","","경기도 광주시 안전도시국 건설과","2005-02-16","매입","도로","2007-07-18","[토지분류코드:][관리대장코드:1632531]","경기도 광주시 오포읍 문형리 610 - 3",127.2034,37.3357,"1",18.75,18.75,4,79,72,7,59,44,32,0,17,8,197,9,53,10,794,75,25,22
2015,32134,"토지","행정재산","공공용재산","일반","하천","하천",1,142,7407000,7407000,"경기도 건설국 하천과","","경기도 광주시 안전도시국 건설과","2003-03-31","매입","하천","2007-07-18","[토지분류코드:][관리대장코드:1629543]","경기도 광주시 오포읍 문형리 509 - 8",127.2062,37.3385,"1",5.21619718309859,5.21619718309859,4,79,78,7,58,38,31,0,19,4,198,9,47,10,739,69,23,22
2015,32135,"토지","행정재산","공공용재산","일반","임야","임야",1,299,24219000,24219000,"경기도 건설국 하천과","","경기도 광주시 안전도시국 건설과","2003-12-04","매입","하천","2007-07-18","[토지분류코드:][관리대장코드:1629544]","경기도 광주시 오포읍 문형리 510",127.2055,37.3386,"1",8.1,8.1,4,81,79,7,58,38,31,0,20,4,200,9,47,10,750,72,26,23
2015,32136,"토지","행정재산","공공용재산","일반","하천","하천",1,3181,160636000,160636000,"경기도 건설국 하천과","","경기도 광주시 안전도시국 건설과","2003-12-04","매입","하천","2007-07-18","[토지분류코드:][관리대장코드:1629545]","경기도 광주시 오포읍 문형리 510 - 4",127.2056,37.3385,"4",5.04985853505187,5.04985853505187,4,79,79,7,58,38,31,0,19,4,199,9,47,10,745,69,26,23
2015,32341,"토지","행정재산","공공용재산","일반","하천","하천",1,705,153090300,153090300,"경기도 건설국 하천과","","경기도 광주시 안전도시국 건설과","2005-09-22","매입","하천","2007-07-18","[토지분류코드:][관리대장코드:1629750]","경기도 광주시 오포읍 문형리 574 - 2",127.2006,37.3399,"3",21.7149361702128,21.7149361702128,5,83,82,8,64,36,32,0,19,4,228,9,39,9,776,80,31,23
2015,32141,"토지","행정재산","공공용재산","일반","하천","하천",1,368,77092000,77092000,"경기도 건설국 하천과","","경기도 광주시 안전도시국 건설과","2003-03-08","매입","하천","2007-07-18","[토지분류코드:][관리대장코드:1629550]","경기도 광주시 오포읍 문형리 587 - 7",127.2025,37.3386,"2",20.9489130434783,20.9489130434783,5,83,82,7,60,37,32,0,19,7,213,9,40,10,768,75,30,23
2015,32245,"토지","행정재산","공공용재산","일반","하천","하천",1,3202,204967500,204967500,"경기도 건설국 하천과","","경기도 광주시 안전도시국 건설과","2004-09-22","매입","하천","2007-07-18","[토지분류코드:][관리대장코드:1629654]","경기도 광주시 오포읍 문형리 587 - 8",127.2032,37.3385,"4",6.4012336039975,6.4012336039975,5,83,80,7,60,39,32,0,18,7,212,9,41,10,776,75,30,23
2015,34922,"토지","행정재산","공공용재산","일반","하천","하천",1,4,122400,122400,"경기도 건설국 도로정책과","","경기도 광주시 안전도시국 건설과","2004-05-12","매입","도로","2007-07-18","[토지분류코드:][관리대장코드:1632331]","경기도 광주시 오포읍 문형리 587 - 9",127.2032,37.3383,"1",3.06,3.06,5,83,80,7,60,38,32,0,18,7,211,9,42,10,774,75,30,23
