"집계년도","asset_ID","재산구분명","재산종류명","행정재산구분명","산구분명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득방법명","재산명칭","등록일자","비고","address","longitude","latitude","size_factor","valueBysize1","valueBysize2","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
2015,113907,"토지","행정재산","공공용재산","일반","대","대",1,149,22052000,22052000,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","2006-10-12","매입","","2008-01-17","","경기도 의정부시 의정부동  38 - 65",127.0531,37.7358,"1",14.8,14.8,18,329,611,71,714,195,54,23,169,20,752,59,39,180,6008,510,449,176
2015,113908,"토지","행정재산","공공용재산","일반","제방","제방",1,67,9916000,9916000,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","2000-12-28","매입","","2008-01-17","","경기도 의정부시 의정부동  39 - 1",127.0533,37.7334,"1",14.8,14.8,18,330,616,71,714,200,54,25,169,20,751,58,40,180,6025,513,449,176
2015,113909,"토지","행정재산","공공용재산","일반","제방","제방",1,563,83324000,83324000,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","2000-12-14","매입","","2008-01-17","","경기도 의정부시 의정부동  39 - 9",127.0533,37.7326,"3",14.8,14.8,18,330,615,71,714,200,56,25,169,21,751,58,40,180,6047,514,449,176
2015,113910,"토지","행정재산","공공용재산","일반","하천","하천",1,36,5328000,5328000,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","2000-12-28","매입","","2008-01-17","","경기도 의정부시 의정부동  40 - 60",127.0533,37.7335,"1",14.8,14.8,18,330,616,71,714,200,54,25,169,20,751,58,40,180,6022,513,449,176
2015,59249,"토지","행정재산","공공용재산","일반","대","대",1,7,4879000,4879000,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","2005-12-29","매입","제  방","2007-07-18","[토지분류코드:][관리대장코드:2500125]","경기도 의정부시 의정부동  54 - 12",127.0534,37.7321,"1",69.7,69.7,18,332,617,71,718,200,57,25,170,21,753,58,43,181,6077,515,452,177
2015,59246,"토지","행정재산","공공용재산","일반","답","답",1,214,94160000,94160000,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","2005-12-13","매입","하  천","2007-07-18","[토지분류코드:][관리대장코드:2500122]","경기도 의정부시 의정부동  57 - 11",127.0533,37.7302,"1",44,44,18,334,632,73,725,201,58,25,172,21,766,58,45,185,6134,521,455,179
2015,59247,"토지","행정재산","공공용재산","일반","답","답",1,1,440000,440000,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","2005-12-13","매입","제  방","2007-07-18","[토지분류코드:][관리대장코드:2500123]","경기도 의정부시 의정부동  57 - 12",127.0532,37.7299,"1",44,44,17,334,632,73,725,201,58,25,172,22,767,58,47,185,6136,521,455,179
2015,122295,"토지","행정재산","공공용재산","일반","대","대",1,23,8625000,8625000,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","2006-08-01","매입","","2009-10-29","","경기도 의정부시 의정부동  58 - 24",127.0535,37.7312,"1",37.5,37.5,18,333,622,72,718,201,59,25,172,21,757,58,44,183,6104,518,453,177
2015,59118,"토지","행정재산","공용재산","일반","대","대",1,5424.3,7377048000,7377048000,"경기도 보건복지국 건강증진과","","","1994-07-14","매입","병원부지","2007-07-18","[토지분류코드:GA308][관리대장코드:1400013]","경기도 의정부시 의정부동  433",127.0425,37.7411,"4",136,136,17,326,607,68,709,198,53,23,168,18,743,60,51,180,5990,505,446,174
2015,59124,"토지","행정재산","공용재산","일반","대","대",1,4614.3,8951160000,8951160000,"경기도 사업소 경기도북부여성비전센터","","","1992-08-06","매입","청사부지","2007-07-18","[토지분류코드:GA108][관리대장코드:4500001]","경기도 의정부시 의정부동  510",127.0407,37.7361,"4",193.987387035953,193.987387035953,16,319,601,68,703,193,57,23,160,17,707,58,48,182,5805,481,440,174
