"asset_ID","Land_size","Land_value","Land_Value_bySize","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
50,2794,4246880000,152,0,5,3,0,7,11,1,0,3,0,22,2,0,0,21,12,1,1
91090,380,577600000,152,0,3,2,0,0,10,1,0,3,0,6,0,2,0,28,18,0,0
191,58,5258660,9.06665517241379,1,5,3,0,0,11,2,0,3,0,7,0,2,0,42,21,3,0
192,178,12816000,7.2,0,3,2,0,0,10,1,0,3,0,1,0,2,0,25,12,0,0
180364,702.7,542758502,77.2390069731037,0,5,3,0,0,10,1,0,4,1,6,0,5,0,53,19,1,0
180365,82.7,63876658,77.2390060459492,1,5,3,0,0,12,3,0,5,0,8,0,4,0,79,24,3,0
180366,10,7723900,77.239,1,5,2,0,0,12,3,0,5,0,7,0,3,0,84,30,3,0
180367,452.5,349506507,77.2390070718232,1,9,2,0,1,13,4,0,6,0,12,0,1,0,114,36,5,0
180368,3.7,2857843,77.239,1,8,1,1,10,14,4,0,9,1,19,0,2,0,147,47,15,3
180369,17.6,13594065,77.2390056818182,1,8,1,1,11,13,4,0,8,1,19,0,2,0,137,47,17,3
6,215,127925000,59.5,1,8,10,1,39,14,1,0,5,4,28,25,0,13,165,35,14,8
7,2150,268750000,12.5,1,8,10,1,43,14,1,0,6,4,26,25,0,19,184,34,15,9
96610,132,83424000,63.2,1,9,10,1,44,14,1,0,6,4,28,26,0,21,205,35,15,10
179,707,557760000,78.8910891089109,1,4,3,0,0,11,1,0,4,0,5,0,4,0,49,19,3,0
180,857,356469150,41.595,1,3,3,0,0,11,1,0,3,0,3,0,3,0,42,18,3,0
91089,1117,1697840000,152,0,3,2,0,0,10,1,0,3,0,4,0,2,0,30,19,0,0
181,56,23293200,41.595,0,3,2,0,0,11,1,0,3,0,2,0,2,0,26,12,0,0
182,1686,2.64e+08,15.6583629893238,1,4,3,0,0,11,2,0,5,0,7,0,4,0,58,22,3,0
183,532,99220000,18.6503759398496,1,4,3,0,0,11,1,0,4,0,6,0,4,0,49,19,3,0
184,70,15330000,21.9,2,6,1,1,19,13,4,0,9,1,17,2,2,1,164,64,22,4
185,508,46228000,9.1,1,6,2,0,1,11,3,0,5,0,10,0,3,0,67,29,5,0
