"category","name","longitude","latitude","address","SW8","dist_nearestRV","MT1","CS2","PS3","SC4","AC5","PK6","OL7","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
"public","지구대",127.0083064,37.2909042,"경기도 수원시 장안구 영화동 410-3번지",0,1.95,3,55,61,11,111,37,11,23,7,199,10,3,89,1115,98,62,34
"public","지구대",126.9985625,37.2932109,"경기도 수원시 장안구 정자동 30-13번지",0,1.16,3,38,79,18,225,29,5,17,4,156,11,3,16,706,66,68,27
"public","파출소",126.971618,37.2979012,"경기도 수원시 장안구 율전동 497-7번지 율천파출소",1,1.16,5,36,63,8,101,19,3,18,2,96,2,2,2,598,100,44,18
"public","파출소",127.0553658,37.2402729,"경기도 수원시 영통구 망포동 396-1번지",1,1.53,5,33,92,10,178,22,2,23,2,115,5,7,3,475,69,85,28
"public","파출소",127.0313404,37.2756555,"경기도 수원시 팔달구 인계동 930-1번지",0,2.12,3,53,84,6,146,41,5,25,7,177,6,0,42,771,91,80,43
"public","파출소",127.0475843,37.2885442,"경기도 수원시 영통구 이의동 1347-6번지",1,0.81,4,20,22,9,69,35,6,20,4,75,6,10,1,265,105,46,8
"public","파출소",127.0143365,37.2690449,"경기도 수원시 팔달구 매교동 77-63번지",1,2.06,3,48,53,5,117,43,6,30,8,192,33,1,86,1084,144,73,33
"public","파출소",126.9417576,37.2917085,"경기도 수원시 권선구 당수동 159-1번지",0,3.81,0,2,20,2,19,2,1,0,0,17,1,4,0,60,3,4,2
"public","파출소",127.0214201,37.283064,"경기도 수원시 팔달구 남수동 11-841번지",0,2.28,1,40,37,8,69,36,6,28,17,98,14,6,60,897,127,86,40
"public","파출소",127.0152228,37.2426536,"경기도 수원시 권선구 세류동 1167-33번지 세류파출소",1,1.08,1,15,14,4,9,7,5,10,0,36,1,1,27,168,14,15,7
"public","파출소",127.0295083,37.2597708,"경기도 수원시 권선구 권선동 1013-23번지",1,1.5,3,84,75,10,148,62,8,62,14,198,9,3,134,1884,196,157,46
"public","파출소",127.0024197,37.2729288,"경기도 수원시 팔달구 고등동 105-25번지",2,1.37,2,46,47,7,126,45,8,30,6,160,32,3,111,1088,150,91,37
"public","파출소",126.9514238,37.2731249,"경기도 수원시 권선구 금곡동 331번지",0,3.08,3,16,40,9,67,1,1,6,0,49,3,5,1,364,34,37,18
"public","파출소",126.9862901,37.2518796,"경기도 수원시 권선구 고색동 146-7번지",1,0.76,1,9,25,4,21,11,14,7,2,24,3,1,1,193,8,16,9
"public","파출소",127.0295833,37.2808459,"경기도 수원시 팔달구 지동 480-6번지",0,1.92,2,43,63,8,91,37,6,20,6,132,12,1,40,699,64,54,33
"public","고등동",127.001141,37.2734563,"경기도 수원시 팔달구 고등동 153-1번지",2,1.26,3,48,50,6,122,42,8,30,6,162,31,2,111,1093,154,94,37
"public","곡선동",127.0333291,37.2433171,"경기도 수원시 권선구 곡반정동 525번지",0,0.62,2,22,59,6,68,8,1,16,0,98,3,5,0,421,43,31,11
"public","광교동",127.047397,37.2901809,"경기도 수원시 영통구 이의동 1350번지",1,0.66,4,25,21,7,69,29,5,20,4,84,6,10,1,330,125,43,8
"public","구운동",126.9714683,37.2771183,"경기도 수원시 권선구 구운동 965번지",0,1.4,3,35,56,4,69,11,2,11,1,113,2,0,19,593,45,33,19
"public","권선1동",127.0246059,37.2577504,"경기도 수원시 권선구 권선동 1034-5번지",1,1.57,3,85,94,7,151,52,7,52,3,231,8,1,99,1680,143,133,44
"public","권선2동",127.0297121,37.251323,"경기도 수원시 권선구 권선동 1268-2번지",1,1.04,3,47,110,13,167,21,4,38,2,161,6,3,32,863,71,96,35
"public","금호동",126.9570464,37.2662294,"경기도 수원시 권선구 호매실동 1367번지",0,2.67,2,13,35,7,46,0,2,3,0,39,3,4,0,246,24,15,8
"public","매교동",127.0142506,37.2685718,"경기도 수원시 팔달구 매교동 88-1번지",1,2.01,3,47,52,5,122,43,6,29,8,193,33,1,88,1089,150,75,33
"public","매산동",127.0056957,37.2687347,"경기도 수원시 팔달구 매산로2가 40-30번지",3,1.72,1,48,52,5,135,51,9,34,8,163,35,2,122,1031,168,73,32
"public","매탄1동",127.0405297,37.2705012,"경기도 수원시 영통구 매탄동 176-4번지",0,1.12,5,61,114,10,193,39,4,36,11,220,5,3,22,1393,176,151,49
"public","매탄2동",127.0474385,37.270149,"경기도 수원시 영통구 매탄동 198-99번지",0,0.64,2,54,121,15,178,27,4,24,3,209,20,2,2,992,121,104,46
"public","매탄3동",127.0431058,37.2564476,"경기도 수원시 영통구 매탄동 1279-1번지",1,0.72,3,41,77,13,166,23,1,21,9,123,4,3,12,783,95,61,23
"public","매탄4동",127.048707,37.2651207,"경기도 수원시 영통구 매탄동 232-2번지",0,0.23,2,39,97,12,202,19,2,21,3,146,7,3,1,866,82,85,36
"public","서둔동",126.9860687,37.2726013,"경기도 수원시 권선구 서둔동 207-13번지",0,0.02,0,15,40,3,23,15,7,8,3,60,3,3,1,258,9,17,11
"public","세류1동",127.0084008,37.2622543,"경기도 수원시 권선구 세류동 223-2번지",3,1.25,4,56,51,4,119,40,7,24,3,180,9,1,91,1121,154,83,32
"public","세류2동",127.0130755,37.253366,"경기도 수원시 권선구 세류동 980-1번지",0,0.45,3,50,57,5,51,29,4,20,1,147,3,0,23,828,51,64,33
"public","세류3동",127.0119447,37.2590463,"경기도 수원시 권선구 세류동 476-11번지",1,0.93,3,48,66,4,65,32,8,15,0,185,5,0,4,840,48,44,24
"public","송죽동",127.0070471,37.3005377,"경기도 수원시 장안구 송죽동 502-1번지",0,2.02,1,51,80,13,149,42,9,22,7,185,17,2,20,980,89,90,43
"public","연무동",127.02149,37.290433,"경기도 수원시 장안구 연무동 181-1번지",0,1.93,0,39,54,12,84,32,11,19,10,115,13,1,72,966,70,51,28
"public","영통1동",127.0805544,37.2663431,"경기도 수원시 영통구 영통동 947-6번지",1,1.5,0,12,56,6,67,3,4,9,0,45,1,1,0,167,24,16,10
"public","영통2동",127.0563236,37.2469631,"경기도 수원시 영통구 영통동 977-3번지",1,1.34,3,38,97,10,156,20,5,23,1,121,4,3,3,436,60,83,30
"public","영화동",127.0141019,37.293163,"경기도 수원시 장안구 영화동 250-1번지",0,2.49,0,49,55,7,90,40,11,20,6,175,8,3,86,1102,72,55,31
"public","우만1동",127.0294188,37.2853824,"경기도 수원시 팔달구 우만동 506번지",0,1.56,0,38,60,11,87,33,5,17,4,112,14,1,20,537,48,40,26
"public","우만2동",127.0397805,37.2780017,"경기도 수원시 팔달구 우만동 108-3번지",0,1.74,3,55,84,11,156,47,5,26,8,171,4,1,22,964,126,100,42
"public","원천동",127.0532675,37.2734948,"경기도 수원시 영통구 원천동 610번지",0,0.75,2,36,66,15,105,33,3,14,4,127,18,4,1,706,83,73,33
"public","율천동",126.9714245,37.2976151,"경기도 수원시 장안구 율전동 433-2번지",1,1.2,5,38,62,8,91,18,3,15,2,97,2,2,2,598,97,43,17
"public","인계동",127.0213359,37.2703764,"경기도 수원시 팔달구 인계동 909-69번지",1,2.42,3,59,35,7,98,61,5,37,10,183,7,0,97,1278,153,91,48
"public","입북동",126.9595437,37.293211,"경기도 수원시 권선구 입북동 429-9번지",0,2.29,1,10,27,1,22,5,4,3,0,39,1,1,0,101,12,3,2
"public","정자1동",126.9912923,37.3022135,"경기도 수원시 장안구 정자동 840-96번지",0,0.62,2,34,77,11,276,24,7,23,8,139,10,3,20,823,78,96,31
"public","정자2동",127.0004375,37.2950777,"경기도 수원시 장안구 정자동 32-7번지",0,1.4,3,47,84,14,237,38,4,21,4,179,13,3,18,882,84,78,34
"public","정자3동",126.9925833,37.2957009,"경기도 수원시 장안구 정자동 879-4번지",0,0.89,5,29,85,15,278,22,4,26,6,108,10,3,1,602,77,87,27
"public","조원1동",127.0164992,37.3017982,"경기도 수원시 장안구 조원동 735번지",0,1.8,1,29,72,11,89,27,5,12,5,100,14,1,9,532,52,58,24
"public","조원2동",127.009678,37.3056158,"경기도 수원시 장안구 조원동 877번지",0,1.49,1,35,68,11,107,29,6,15,6,107,11,2,8,644,71,65,30
"public","지동",127.0284703,37.282038,"경기도 수원시 팔달구 지동 479번지",0,1.88,2,44,58,11,91,39,5,19,4,129,12,2,42,737,62,54,35
"public","태장동",127.0516158,37.2388486,"경기도 수원시 영통구 망포동 234-43번지",1,1.32,4,23,71,8,141,12,2,17,1,81,4,7,3,324,51,71,24
"public","파장동",126.9947975,37.3084021,"경기도 수원시 장안구 파장동 584-6번지",0,1.14,2,32,56,6,108,19,10,11,6,124,7,0,20,680,52,47,24
"public","평  동",126.9941697,37.2580592,"경기도 수원시 권선구 평동 35-6번지",1,0.24,1,5,6,1,7,10,16,14,1,13,3,1,1,143,24,8,6
"public","행궁동",127.0126477,37.2840483,"경기도 수원시 팔달구 신풍동 100번지",0,2.41,0,42,36,10,74,39,6,27,18,113,14,7,96,1052,125,84,37
"public","화서1동",126.9950343,37.2764224,"경기도 수원시 팔달구 화서동 184-357번지",1,0.8,2,25,53,9,55,22,8,8,3,103,7,3,26,375,36,40,23
"public","화서2동",126.9862829,37.2850897,"경기도 수원시 팔달구 화서동 689-1번지",1,0.35,2,16,78,13,108,16,2,6,2,66,4,5,0,218,36,30,12
"culture","수원광교박물관",127.051421,37.29635,"경기도 수원시 영통구 이의동 403-2번지",2,0.11,3,30,14,4,32,17,5,15,1,74,4,7,1,324,126,31,6
"culture","수원화성박물관",127.018985,37.282591,"경기도 수원시 팔달구 매향동 49번지",0,2.49,1,39,21,8,60,40,7,30,17,80,15,7,72,891,139,84,37
"culture","수원박물관",127.035631,37.297646,"경기도 수원시 영통구 이의동 1088-10번지",1,0.7,1,29,19,5,27,33,4,14,4,55,4,8,8,427,69,21,13
"culture","수원시립아이파크미술관",127.015823,37.282704,"경기도 수원시 팔달구 신풍동 238-1번지",0,2.72,0,37,26,8,53,40,5,30,18,97,13,7,86,1003,143,81,30
"social","사단법인 수원여성의전화 가정폭력관련상담원 교육훈련시설",127.0187572,37.2748199,"경기도 수원시 팔달구 구천동 13-2번지",0,2.79,1,42,28,7,91,55,5,37,15,127,36,5,71,1027,144,96,51
"social","수원여자대학산학협력단부설치료상담교육센터",126.9633971,37.2525139,"경기도 수원시 권선구 오목천동 1-6번지 수원여자대학",0,2.51,0,6,15,2,14,9,6,5,0,21,2,4,1,77,13,11,4
"social","가정폭력상담원교육훈련시설",127.0187572,37.2748199,"경기도 수원시 팔달구 구천동 13-2번지",0,2.79,1,42,28,7,91,55,5,37,15,127,36,5,71,1027,144,96,51
"social","매홀평생교육원",126.9867005,37.2832085,"경기도 수원시 팔달구 화서동 410-7번지 수원성감리교회 교육관 2층",1,0.55,2,18,63,11,89,19,2,5,4,65,4,4,0,218,37,29,10
"social","청솔노인복지관",127.0011451,37.2947066,"경기도 수원시 장안구 정자동 32-5번지",0,1.44,3,52,80,15,222,38,4,21,4,173,13,3,20,898,86,77,34
"social","수원시무한돌봄휴먼서비스센터",127.0285851,37.2633752,"경기도 수원시 팔달구 인계동 1111번지",1,1.86,3,86,61,4,125,65,8,59,16,207,5,3,134,1825,202,147,46
"social","우만종합사회복지관",127.0346396,37.2919543,"경기도 수원시 팔달구 우만동 301번지",0,0.77,1,36,41,5,48,38,6,13,4,90,5,4,8,574,49,28,17
"social","무봉종합사회복지관",127.0237567,37.2917314,"경기도 수원시 장안구 연무동 256-2번지",0,1.7,1,38,50,11,73,38,10,16,6,104,10,0,69,908,55,39,23
"social","연무사회복지관",127.0265873,37.2916768,"경기도 수원시 장안구 연무동 260-34번지",0,1.46,1,30,45,10,62,33,10,11,3,94,8,0,11,660,41,33,19
"social","유당마을",127.0108119,37.3095102,"경기도 수원시 장안구 조원동 119-3번지",0,1.06,1,20,52,11,81,10,3,12,5,71,9,1,1,373,52,54,21
"social","중앙양로원",126.9784853,37.2319925,"경기도 수원시 권선구 오목천동 747-1번지",0,3.06,0,6,19,2,19,1,4,2,1,19,0,2,0,66,5,4,2
"social","예인가정폭력상담소",127.0220046,37.2755943,"경기도 수원시 팔달구 지동 371번지 새로나빌딩 704호",0,2.8,2,52,37,5,95,55,7,37,15,144,13,4,83,1085,148,101,53
"social","수원가정법률상담소부설 가정폭력상담소",127.0112027,37.2734061,"경기도 수원시 팔달구 매산로3가 2-1번지 시민회관 3층",1,2.15,3,53,32,8,121,58,4,37,11,157,35,6,133,1165,175,115,49
"social","외국인주민복지센터4",127.009342,37.2686308,"경기도 수원시 팔달구 매산로3가 72-2번지",3,1.96,3,54,47,4,146,57,5,27,8,176,36,2,135,1134,180,81,36
"social","수원시 자살예방센터",126.999285,37.2793171,"경기도 수원시 팔달구 화서동 134-3번지",0,1.28,2,27,65,13,73,26,3,9,5,128,27,2,12,414,41,51,22
"social","수원시 자살예방센터",126.999285,37.2793171,"경기도 수원시 팔달구 화서동 134-3번지",0,1.28,2,27,65,13,73,26,3,9,5,128,27,2,12,414,41,51,22
"social","경기도 자살예방센터",126.9962507,37.2918412,"경기도 수원시 장안구 정자동 886-9번지",0,0.92,3,37,81,20,239,28,4,18,4,143,9,4,5,699,73,68,26
"social","경기도 자살예방센터",126.9962507,37.2918412,"경기도 수원시 장안구 정자동 886-9번지",0,0.92,3,37,81,20,239,28,4,18,4,143,9,4,5,699,73,68,26
"social","수원시노인정신건강센터",127.0697092,37.2568819,"경기도 수원시 영통구 영통동 961-18번지",2,1.63,3,40,66,11,218,21,4,27,2,104,5,1,20,795,105,95,22
"social","경기도정신건강증진센터",126.9963821,37.2918591,"경기도 수원시 장안구 정자동 886-9번지",0,0.93,3,37,82,20,240,28,4,18,4,143,9,4,5,699,73,68,26
"social","수원시정신건강증진센터",127.0106747,37.2704968,"경기도 수원시 팔달구 매산로3가 43-1번지",1,2.13,2,58,43,8,151,57,5,30,9,190,36,3,136,1171,184,99,40
"social","수원시통합정신건강증진센터",127.0096236,37.3033812,"경기도 수원시 장안구 조원동 888번지",0,1.73,1,40,79,15,118,34,6,16,6,128,13,2,17,724,79,73,32
"social","수원시아동청소년정신건강증진센터",126.9993595,37.279396,"경기도 수원시 팔달구 화서동 134-3번지",0,1.29,2,27,64,13,74,25,4,9,5,129,28,2,11,412,43,51,21
"social","수원시청소년상담복지센터",127.0696287,37.2527515,"경기도 수원시 영통구 도청로 17-24번지 광교청소년수련관 3층",1,2.03,3,53,86,11,246,25,4,28,2,134,5,2,18,963,169,95,23
"social","수원시청소년상담복지센터",127.0350111,37.2736313,"경기도 수원시 권선구 덕영대로 1201-42번지 권선청소년수련관 2층(권선동)",0,1.72,4,67,95,6,161,49,5,39,8,188,4,1,62,1254,156,125,49
"social","경기도청소년상담복지센터",127.0078501,37.3001881,"경기도 수원시 장안구 송죽동 505-3번지",0,2.09,1,51,85,13,141,41,8,22,7,170,16,2,24,952,87,90,40
"social","수원남자청소년 쉼터",127.0259228,37.2715685,"경기도 수원시 팔달구 인계동 969-9번지",0,2.36,3,72,45,7,101,66,7,50,8,199,6,1,116,1510,158,104,47
"social","수원여자청소년 쉼터",127.0211075,37.2600469,"경기도 수원시 권선구 권선동 973번지",2,1.47,2,72,90,7,126,40,10,39,3,255,7,0,89,1531,111,91,40
"social","치매상담센터19",127.0697092,37.2568819,"경기도 수원시 영통구 영통동 961-18번지",2,1.63,3,40,66,11,218,21,4,27,2,104,5,1,20,795,105,95,22
"social","치매상담센터20",127.0125194,37.2714986,"경기도 수원시 팔달구 교동 56-1번지",1,2.28,3,50,41,7,120,51,4,32,9,181,33,4,115,1128,167,94,38
"social","치매상담센터21",126.9711281,37.2587442,"경기도 수원시 권선구 탑동 910번지",0,1.76,0,5,9,2,8,8,6,2,0,5,5,1,1,32,7,2,1
"social","치매상담센터22",127.0096236,37.3033812,"경기도 수원시 장안구 조원동 888번지",0,1.73,1,40,79,15,118,34,6,16,6,128,13,2,17,724,79,73,32
"social","치매상담센터23",126.9910652,37.3156281,"경기도 수원시 장안구 파장동 184번지",0,0.53,2,14,18,6,39,7,13,4,5,47,5,0,9,246,24,21,6
"social","수원시치매지원센터",127.06882,37.253286,"경기도 수원시 영통구 영통동 961-18번지",1,1.94,3,49,86,11,240,24,4,28,2,126,5,2,18,912,144,96,23
"library","선경도서관",127.010433,37.283861,"경기도 수원시 팔달구 신풍동 123-69번지",0,2.23,1,44,41,15,83,39,7,27,19,126,30,7,93,1045,123,100,46
"library","한아름도서관",127.035011,37.273631,"경기도 수원시 팔달구 인계동 334-1번지",0,1.72,4,67,95,6,161,49,5,39,8,188,4,1,62,1254,156,125,49
"library","서수원도서관",126.97207,37.273118,"경기도 수원시 권선구 탑동 746-1번지",0,1.25,0,38,46,4,51,13,4,8,1,107,2,0,19,548,30,29,20
"library","인도래작은도서관",127.027398,37.272494,"경기도 수원시 팔달구 인계동 961-16번지",0,2.27,3,67,53,5,103,62,5,47,7,184,4,1,102,1380,143,96,47
"library","화홍어린이도서관",127.017118,37.285662,"경기도 수원시 팔달구 북수동 44-2번지",0,2.47,0,38,35,7,57,39,10,25,16,101,14,6,92,979,116,73,36
"library","반달어린이도서관",127.077386,37.250685,"경기도 수원시 영통구 영통동 1012-5번지",2,2.58,3,45,42,9,200,27,3,33,1,95,5,4,18,889,176,83,18
"library","사랑샘도서관",127.03605,37.295548,"경기도 수원시 영통구 이의동 1088-13번지",0,0.59,2,32,25,5,36,38,4,15,4,63,5,7,8,474,69,26,13
"library","희망샘도서관",126.972927,37.247752,"경기도 수원시 권선구 고색동 905-11번지",2,1.94,0,12,30,5,32,14,6,10,0,36,1,1,2,237,16,23,9
"library","영통도서관",127.072059,37.257187,"경기도 수원시 영통구 영통동 961-1번지",2,1.72,3,34,67,12,229,21,3,23,2,81,5,1,19,792,122,88,20
"library","바른샘어린이도서관",127.052367,37.268857,"경기도 수원시 영통구 매탄동 1213번지",0,0.31,1,45,77,15,116,21,4,15,3,159,18,1,2,723,70,67,29
"library","지혜샘어린이도서관",127.04008,37.248008,"경기도 수원시 권선구 권선동 1310번지",1,0.17,4,24,60,11,77,8,3,17,0,97,6,4,0,347,47,30,12
"library","슬기샘어린이도서관",126.999111,37.297575,"경기도 수원시 장안구 송죽동 417-23번지",0,1.4,3,49,82,13,241,42,7,21,5,179,12,3,16,966,110,93,37
"library","태장마루도서관",127.051003,37.238669,"경기도 수원시 영통구 망포동 234-44번지",1,1.29,4,19,70,8,119,12,2,16,1,70,3,6,3,264,41,61,20
"library","광교홍재도서관",127.047441,37.302936,"경기도 수원시 영통구 이의동 1209번지",1,0.85,1,14,11,2,7,7,4,4,1,26,0,6,0,122,40,9,2
"library","일월도서관",126.977793,37.286894,"경기도 수원시 장안구 천천동 453-1번지",0,0.61,3,15,65,8,92,13,2,13,1,65,3,5,19,283,39,27,11
"library","대추골도서관",127.008094,37.306611,"경기도 수원시 장안구 조원동 198-14번지",0,1.45,1,34,65,12,100,27,5,14,6,98,11,2,6,627,68,62,29
"library","북수원도서관",126.988306,37.297665,"경기도 수원시 장안구 정자동 869-1번지",0,0.59,4,24,99,15,277,15,4,24,4,92,6,3,10,560,74,78,25
"library","버드내도서관",127.015168,37.257114,"경기도 수원시 권선구 세류동 503-2번지",1,0.87,4,61,87,6,84,34,9,25,1,194,5,0,10,1061,68,69,40
"library","한림도서관",127.024869,37.237719,"경기도 수원시 권선구 권선동 1355-4번지",0,1.01,0,17,25,3,19,10,8,8,0,59,1,4,0,318,22,6,3
"library","호매실도서관",126.957993,37.266338,"경기도 수원시 권선구 호매실동 1369번지",0,2.59,2,13,35,7,46,0,2,3,0,39,3,4,0,243,24,15,8
"library","화서다산도서관",126.997429,37.285646,"경기도 수원시 팔달구 화서동 262번지",1,1.07,5,40,89,14,140,23,5,14,6,173,6,2,7,682,66,71,33
"library","창룡도서관",127.027549,37.290742,"경기도 수원시 팔달구 우만동 582번지",0,1.4,1,31,46,10,63,32,9,11,4,91,10,2,9,644,39,34,19
"library","중앙도서관",127.012132,37.273582,"경기도 수원시 팔달구 교동 3-3번지",1,2.23,3,50,31,8,114,56,4,36,11,152,34,6,115,1068,165,111,44
"sports","수원 종합운동장 실내체육관",127.0103719,37.2984687,"경기도 수원시 장안구 조원동 775-1번지",0,2.24,1,53,84,10,125,40,9,25,6,190,17,2,63,1113,90,92,44
"sports","만석 배드민턴 전용경기장",127.0041822,37.3007469,"경기도 수원시 장안구 송죽동 316번지",0,1.76,1,51,83,11,167,38,8,23,7,190,19,2,17,952,87,81,39
"sports","수원종합운동장야구장",127.0103719,37.2984687,"경기도 수원시 장안구 조원동 775-1번지",0,2.24,1,53,84,10,125,40,9,25,6,190,17,2,63,1113,90,92,44
"sports","수원시 양궁장",126.9727105,37.3095992,"경기도 수원시 장안구 율전동 8-3번지",0,0.8,2,11,29,5,32,5,3,2,0,37,1,5,0,120,21,9,4
"sports","수원종합운동장 주경기장",127.0103719,37.2984687,"경기도 수원시 장안구 조원동 775-1번지",0,2.24,1,53,84,10,125,40,9,25,6,190,17,2,63,1113,90,92,44
"sports","수원종합운동장 보조구장",127.0103719,37.2984687,"경기도 수원시 장안구 조원동 775-1번지",0,2.24,1,53,84,10,125,40,9,25,6,190,17,2,63,1113,90,92,44
"sports","여기산 인조잔디구장",126.9860417,37.2726049,"경기도 수원시 권선구 서둔동 256번지",0,0.02,0,15,40,3,23,15,7,8,3,60,3,3,1,264,9,18,11
"sports","매탄 인조잔디구장",127.0458181,37.267825,"경기도 수원시 영통구 매탄동 811번지",0,0.57,2,49,123,16,247,26,3,26,4,209,9,2,6,1109,113,127,49
"sports","지방산업단지 인조잔디구장",126.9782793,37.2437091,"경기도 수원시 권선구 고색동 919번지",1,1.91,0,14,28,2,23,14,2,9,0,27,0,0,2,191,10,17,7
"sports","만석 인조잔디구장",127.0025536,37.3017885,"경기도 수원시 장안구 송죽동 239-2번지",0,1.61,2,50,77,11,176,39,8,20,7,162,18,3,29,936,92,84,35
"sports","올림픽공원 테니스장",127.0262933,37.2607379,"경기도 수원시 권선구 권선동 1012번지",1,1.79,3,95,83,5,139,63,7,60,13,226,6,3,135,2057,196,157,47
"sports","만석공원 테니스장",127.0017775,37.300282,"경기도 수원시 장안구 송죽동 305번지",0,1.56,3,52,80,9,260,39,7,21,7,173,21,3,20,1032,103,109,42
"sports","오목천체육공원 정구장",126.9701187,37.2440463,"경기도 수원시 권선구 오목천동 134번지",2,2.38,0,9,26,4,35,9,9,7,0,34,0,1,1,185,16,19,7
"sports","합정레포츠 하키장",127.2705689,37.00197,"경기도 수원시 권선구 오목천동 883-1번지",0,33.4,2,28,16,3,53,55,5,15,0,45,5,0,28,624,56,75,29
"medical","영통구보건소",127.0693887,37.2567367,"경기도 수원시 영통구 영통2동 961번지 18호",2,1.63,3,39,69,11,216,22,4,27,2,104,5,1,20,801,105,95,22
"medical","장안구보건소",127.010033,37.3036806,"경기도 수원시 장안구 조원동 888번지 장안구보건소",0,1.69,1,39,77,13,114,31,6,16,6,123,13,2,16,708,75,71,32
"medical","수원시권선구보건소",126.9711158,37.2583459,"경기도 수원시 권선구 탑동 910번지",0,1.76,0,5,8,1,4,8,6,3,0,5,5,1,1,29,7,2,1
"medical","수원시팔달구보건소",127.0123638,37.2713787,"경기도 수원시 팔달구 교동 56번지 1호",1,2.26,3,52,42,7,120,51,4,32,9,181,33,4,118,1151,168,93,39
