"data_category","SW8","PNILP","PAREA","JIMOK","SPFC1","LAND_USE","GEO_HL","GEO_FORM","ROAD_SIDE"
"public",5,2.40240808874661,-0.224390014213692,"8","22","220","2","2","7"
"public",1,0.767385793035437,-0.201094203806482,"8","15","240","2","3","4"
"public",0,1.86685848646377,-0.215334681081189,"8","14","240","2","2","2"
"public",1,0.100608804762768,-0.218542522291269,"8","14","160","2","3","6"
"public",1,-0.797483051462791,-0.171246345259654,"22","14","930","2","4","7"
"public",1,0.561677998781103,-0.217760042805814,"8","16","330","2","2","6"
"public",1,0.368028937293402,-0.217964591385,"8","14","330","2","4","5"
"public",2,0.285036482370102,-0.223321816077947,"8","14","330","2","3","9"
"public",2,0.427613263905002,-0.204662440132269,"8","15","330","3","4","9"
"public",0,1.0894248916267,-0.203240340486505,"8","14","160","2","1","2"
"public",1,1.54765673675877,-0.220789309859463,"8","22","240","2","3","3"
"public",1,0.00555761707283457,-0.215630140140012,"28","22","240","2","4","7"
"public",0,1.0043044250387,-0.206896240489086,"8","13","160","2","1","2"
"public",3,-0.144821873899299,-0.221682180641621,"8","14","330","2","3","7"
"public",0,-0.727897070027101,-0.201896164109002,"8","14","240","2","4","4"
"public",0,-0.924099745512441,-0.213974270689465,"8","16","160","2","4","8"
"public",0,-0.149787234450266,-0.177006173505284,"8","14","310","2","3","2"
"public",1,-0.536517887648414,-0.217091201419907,"8","22","240","2","4","7"
"public",1,-0.785991788473411,-0.211539168556307,"1","14","240","2","4","5"
"public",0,-1.17250964050509,-0.110044111646286,"8","64","160","2","7","6"
"public",0,-1.13881612248067,-0.192577839946118,"8","14","160","2","7","6"
"public",0,-0.822877323994878,-0.206311815977128,"8","16","220","2","4","5"
"public",0,-0.778614681369118,-0.200597442971318,"8","64","220","2","4","4"
"public",0,-0.973044013800542,-0.190564822182707,"8","64","240","2","4","4"
"public",0,-1.09781643107412,0.0535298156450405,"8","14","160","2","7","6"
"public",0,-1.10171778579274,-0.125044340786539,"8","14","110","2","7","8"
"public",0,-1.07249309226419,-0.178746459829781,"8","13","160","2","7","6"
"public",1,0.346748820646402,-0.21313010194997,"8","14","240","2","4","1"
"public",1,0.741849653059037,-0.199097420057292,"8","16","240","2","3","4"
"public",1,-0.134181815575799,-0.221019832861402,"8","22","330","2","4","5"
"public",1,1.61504377280761,-0.217441856127082,"8","14","330","2","1","5"
"public",2,5.43411537372255,-0.217104188631284,"8","22","220","2","2","2"
"public",4,1.2766899181203,-0.149586923485926,"8","15","330","3","7","5"
"public",3,0.512024393271436,-0.215013247599612,"8","15","160","3","4","5"
"public",1,0.405623810036436,-0.12139818119249,"8","14","160","3","7","5"
"public",2,1.51715523623141,-0.216211317849126,"8","15","240","3","4","5"
"public",0,1.08233151941104,-0.204951405585404,"8","15","160","2","3","2"
