"Asset_ID","Land_size","Land_value","longitude","latitude","Land_Value_bySize","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9","cluster"
587,382,20895400,126.946,37.2936,5.47,21,210,518,78,766,132,58,5,92,22,686,42,124,59,3758,408,309,138,4
588,285,15589500,126.9457,37.2937,5.47,21,209,516,78,761,132,58,5,92,22,683,42,123,59,3726,410,308,137,4
589,78,3588000,126.9455,37.2937,4.6,20,208,514,76,759,129,58,5,92,22,681,42,123,59,3712,408,306,137,4
590,321,14766000,126.9453,37.2938,4.6,20,208,510,76,758,129,58,5,91,22,681,42,123,59,3688,409,306,136,4
894,14,714000,126.9512,37.2885,5.1,24,251,586,90,870,162,75,5,124,28,854,46,122,104,4539,496,392,184,3
893,1709,87159000,126.951,37.289,5.1,23,246,580,91,867,157,73,4,115,28,838,46,121,92,4413,470,388,178,3
892,690,35190000,126.9511,37.2891,5.1,23,246,580,90,868,158,73,4,116,28,839,46,121,96,4421,474,388,178,3
875,72,3672000,126.9529,37.2913,5.1,23,258,582,91,878,160,72,4,120,33,863,49,117,111,4540,488,386,181,3
876,6,306000,126.9529,37.2913,5.1,23,258,582,91,878,160,72,4,120,33,863,49,117,111,4540,488,386,181,3
878,27,453600,126.9541,37.2919,1.68,24,263,589,92,885,172,73,4,126,36,888,51,116,122,4736,526,405,189,3
879,121,2032800,126.9542,37.2919,1.68,24,265,591,93,885,172,74,4,128,36,887,51,116,124,4745,527,406,190,3
880,685,11508000,126.9545,37.292,1.68,24,270,593,93,891,176,73,5,128,36,893,51,117,128,4820,541,414,192,3
881,1156,19420000,126.9548,37.292,1.67993079584775,24,273,599,93,899,181,72,5,128,36,898,51,117,134,4887,547,426,196,3
882,224,3763200,126.955,37.292,1.68,24,277,601,94,899,180,72,5,128,36,902,52,117,142,4967,555,428,196,3
883,777,13053600,126.9554,37.2922,1.68,24,279,602,93,903,181,72,5,129,38,909,52,117,149,5030,563,430,198,3
884,396,6652800,126.9551,37.292,1.68,24,279,602,94,901,180,72,5,129,37,905,52,117,145,4993,560,428,197,3
885,1512,25401600,126.9552,37.2921,1.68,24,278,601,93,903,180,72,5,129,38,908,52,117,145,4997,560,429,197,3
874,636,32436000,126.9527,37.2911,5.1,23,257,583,91,876,160,72,4,120,32,862,49,117,106,4521,485,385,181,3
872,1261,64311000,126.9524,37.2909,5.1,23,255,581,91,876,158,72,4,118,32,858,49,118,105,4502,479,383,178,3
97844,15,8070000,127.0416,37.2496,53.8,43,637,1047,141,1773,428,109,11,363,68,1978,124,94,418,11490,1474,1035,395,2
97845,202,48480000,127.0415,37.2496,24,43,637,1047,141,1772,428,109,11,364,68,1976,124,94,418,11486,1472,1035,395,2
166210,41,22058000,127.0416,37.2495,53.8,43,640,1050,141,1772,428,108,11,363,68,1981,124,94,418,11512,1475,1038,395,2
97846,724,9438000,127.0414,37.2501,1.30359116022099,43,638,1044,141,1768,431,112,11,367,68,1964,125,93,420,11486,1490,1033,393,2
97847,130,9438000,127.0414,37.2491,7.26,43,642,1052,140,1772,428,108,11,364,68,1982,124,91,418,11525,1483,1039,396,2
