"category","longitude","latitude","SW8","PNU","PNILP","PAREA","JIMOK","SPFC1","SPFC2","LAND_USE","GEO_HL","GEO_FORM","ROAD_SIDE","MT1","CS2","PS3","SC4","AC5","PK6","OL7","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
"culture",126.697861,37.787355,0,4148032022116520448,775000,848.2,8,64,0,230,2,4,6,1,6,0,0,7,22,4,2,66,8,0,6,18,123,94,0,0
"culture",126.700892,37.789929,0,4148032022116520448,730000,933.8,8,64,0,210,2,4,8,0,4,0,0,7,21,1,1,66,4,0,6,17,62,90,1,0
"culture",126.695187,37.790875,0,4148032022116519936,849700,464.5,8,64,0,210,2,4,2,0,6,0,0,7,21,3,2,66,9,0,5,25,166,104,0,0
"culture",126.697906,37.789257,0,4148032022116519936,776000,4234.8,8,64,0,210,2,4,8,1,6,0,0,7,21,4,2,67,8,0,6,23,116,92,0,0
"culture",126.695175,37.791561,0,4148032022116520448,776000,231.4,8,64,0,210,2,4,8,0,6,0,0,7,21,3,2,66,9,0,5,24,161,103,0,0
"culture",126.697301,37.790809,0,4148032022116519936,799200,230.1,8,64,0,210,2,4,9,0,6,0,0,7,21,3,1,67,9,0,6,22,110,92,0,0
"culture",126.86049,37.314207,1,4127110200106149888,108000,70801.1,22,43,0,930,2,7,2,1,30,33,3,39,41,3,10,5,89,3,6,11,406,30,26,11
"culture",126.847974,37.299094,0,4127110300115859968,1246000,26202.1,8,14,0,330,2,4,5,0,46,43,5,66,38,1,22,4,94,6,1,8,592,71,25,11
"culture",126.6461,37.192438,0,4127311300107169792,212700,5577,28,43,0,160,2,7,6,0,0,0,0,0,5,0,0,1,2,0,4,7,43,4,0,0
"culture",126.851514,37.315587,1,4127110800107270144,70000,3385,1,43,0,930,3,7,3,2,36,32,2,64,37,2,20,7,81,1,5,20,630,65,44,20
"culture",126.9569656,37.778314,0,4163025027102139904,166700,1614,8,63,0,110,3,4,8,0,2,0,0,0,0,0,0,1,0,0,5,18,27,5,0,0
"culture",127.3779319,37.5950925,0,4183035023200739840,15500,37315,5,64,0,720,4,7,12,0,0,0,0,0,0,0,0,1,3,0,1,13,5,1,0,0
"culture",126.602059,37.22059,0,4127311200100029952,256700,9858,8,43,0,160,2,7,6,0,0,0,0,0,3,0,0,2,0,0,0,25,1,2,0,0
"culture",126.602059,37.22059,0,4127311200100029952,256700,9858,8,43,0,160,2,7,6,0,0,0,0,0,3,0,0,2,0,0,0,25,1,2,0,0
"culture",126.644245,37.205297,0,4127311300106800128,530800,1126,8,43,0,210,2,7,10,0,1,0,0,0,0,1,0,1,0,0,3,10,15,1,0,0
"culture",126.575946,37.224455,0,4127311200200849920,11800,219,14,43,0,910,3,7,6,0,0,1,1,0,0,1,0,1,0,0,2,7,1,0,0,0
"culture",127.180638,37.479384,0,4161037021109120000,878900,895,8,51,0,160,3,7,8,0,2,1,1,0,3,0,1,3,1,2,12,2,72,8,0,0
"culture",127.302021,37.493941,0,4161035021100680192,343200,1171,8,13,0,160,2,7,8,1,0,2,1,0,1,0,0,3,1,1,2,3,36,5,0,0
"culture",126.781683,37.475538,1,4119011100105659904,1237000,3028.9,8,43,0,160,2,7,7,2,37,39,8,41,17,0,15,5,127,7,7,18,562,48,63,27
"culture",126.9696907,37.3422075,0,4143010100101590016,1071000,4909,8,44,0,160,2,7,6,1,6,12,1,14,14,3,5,0,28,9,3,1,115,10,10,7
"culture",126.9536889,37.3142825,1,4143011000103739904,1049000,81236,15,13,0,160,2,7,5,1,12,25,4,33,15,1,5,3,38,1,13,6,240,18,22,12
"culture",128.056641,36.430122,0,4128510500108160000,2119000,43121.4,8,13,0,240,2,7,1,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0
"culture",126.689026,37.716719,0,4148011500104990208,704800,4645.7,9,33,0,410,2,4,5,0,4,2,0,2,6,0,9,14,2,0,1,3,76,37,0,1
"culture",126.699389,37.788894,0,4148032022116520448,808500,842.9,8,64,0,210,2,4,6,1,4,0,0,7,21,2,1,66,7,0,6,18,98,92,1,0
"culture",126.917418,37.363947,0,4141010400104849920,373200,24753,21,44,0,899,3,7,8,1,5,47,8,37,12,0,8,4,31,5,2,0,82,15,9,7
"culture",126.470785,37.27067,0,4139010100103050240,495900,3028,8,13,0,160,2,7,12,0,0,0,1,0,0,0,0,0,0,0,3,1,1,0,0,0
"culture",126.697025,37.788995,0,4148032022116519936,776000,1851.9,8,64,0,210,2,4,8,1,7,0,0,7,21,4,2,67,9,0,6,24,129,96,0,0
"culture",127.110923,37.5608244,0,4131010600103159808,918300,4928,8,44,0,160,3,7,8,0,0,1,0,0,5,1,3,4,0,0,6,6,29,7,1,1
"culture",127.0644542,37.9445605,1,4125010900101620224,305700,9968,24,43,0,310,2,7,4,0,7,1,0,0,3,6,2,3,2,1,3,5,77,3,0,0
"culture",126.687553,37.708909,0,4148011500105129984,577300,2111.9,9,33,0,410,2,3,6,0,5,1,0,4,0,0,3,13,2,0,3,2,52,26,0,1
"culture",127.217029,37.301156,0,4146125028104320000,215000,10780,8,43,0,840,3,7,5,0,2,2,0,0,9,1,0,1,3,0,3,2,12,0,0,0
"culture",127.177097,37.336675,0,4146131027102580224,519800,2440,8,43,0,160,3,7,8,1,6,10,1,12,1,0,2,1,23,0,3,0,130,8,5,3
"culture",126.8779195,37.4334316,0,4121010400110839808,1421000,2289,8,13,0,160,2,7,7,1,16,41,7,23,18,1,6,3,40,1,0,4,215,16,22,10
"culture",127.3793615,37.6600185,0,4182032527106089984,422700,1124,8,64,0,210,2,7,6,0,2,1,0,0,1,0,0,0,3,0,5,15,22,6,1,0
"culture",127.484026,37.4971477,1,4183025021105430016,447300,8069,8,43,0,160,2,7,1,1,9,7,2,26,14,5,7,4,41,3,4,12,176,20,7,5
"culture",127.3734399,37.5303488,1,4183033025106229760,177100,1610,1,44,0,160,3,7,8,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,0,0
"culture",127.017142,37.4448469,1,4129010600106849792,590000,236462,24,44,0,880,2,7,2,0,20,2,0,0,17,0,3,3,2,1,3,0,47,10,2,2
"culture",127.0056429,37.4350409,2,4129010400103300096,3110000,397,8,44,0,160,2,4,2,1,9,14,3,16,21,1,1,14,19,3,3,0,49,6,4,4
"culture",127.035631,37.297646,1,4111710300110880256,808000,39885,8,43,41,160,3,7,4,1,29,19,5,27,33,4,14,4,55,4,8,8,427,69,21,13
"culture",126.9993057,37.4518678,1,4129010500104489984,2118000,1901,8,44,0,160,2,5,8,0,2,3,0,1,13,1,0,3,12,2,1,0,35,15,1,0
"culture",127.015823,37.282704,0,4111513000102380032,2435000,6404,8,22,0,240,2,4,2,0,37,26,8,53,40,5,30,18,97,13,7,86,1003,143,81,30
"culture",127.4719645,37.9043998,0,4182035026101980160,108000,2216,1,64,0,220,2,7,6,0,0,0,0,0,0,0,0,1,0,0,1,21,1,0,0,0
"culture",127.4820605,37.6607799,0,4182031021107210240,153000,1130,8,64,0,210,3,7,8,0,0,0,0,0,0,1,0,1,0,0,0,4,7,1,0,0
"culture",127.3452777,37.8327807,0,4182034521100490240,102000,608,8,43,0,160,2,5,6,0,2,1,0,0,0,0,0,1,2,0,3,2,6,0,0,0
"culture",126.471122,37.260122,0,4139010200101839872,842100,329,8,44,0,110,2,7,8,1,1,3,2,1,0,0,1,0,3,0,1,3,14,0,0,0
"culture",127.198245,37.890447,0,4165010100103969792,557600,2810,8,13,43,240,2,7,8,2,14,15,3,21,23,5,6,2,21,10,0,9,322,22,25,11
"culture",127.207212,37.544479,0,4145010800106939904,1999000,27652.8,8,13,0,160,2,7,2,4,38,56,10,115,21,6,29,9,221,13,0,23,923,81,117,42
"culture",127.6416356,37.2204392,0,4167011300104110080,101700,7019,8,64,0,160,2,7,8,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0
"culture",126.928012,37.132454,0,4159025939104779776,265600,70439,22,43,0,930,2,4,5,1,13,26,7,64,11,2,10,2,29,2,3,1,228,24,32,7
"culture",127.656887,37.2605708,0,4167011600102499840,166800,9329,8,64,0,160,2,7,6,0,1,3,0,1,2,2,0,1,4,0,0,3,17,0,0,1
"culture",127.6878915,37.2882091,0,4167037023103949824,186400,654,8,64,0,240,2,7,8,0,0,2,0,0,1,1,0,2,0,0,9,6,18,1,0,0
"culture",127.7078839,37.2427216,0,4167037026100089856,70800,6480,10,62,0,160,2,4,8,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
"culture",127.609115,37.3986436,0,4167035028108310016,102400,8829,10,62,0,160,2,7,6,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0
"culture",127.6757289,37.1467474,0,4167031025100420096,87200,995,8,64,0,160,2,7,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"culture",127.4427309,37.408668,0,4167038024102669824,146800,760,8,64,0,160,2,7,8,1,0,2,2,0,1,0,1,1,3,4,1,2,13,0,0,2
"culture",127.657826,37.278575,0,4167011900102090240,128900,785,8,62,0,160,2,7,8,0,0,0,0,0,1,0,0,1,0,0,4,0,12,1,1,0
"culture",127.636044,37.317854,0,4167012200103790080,184200,4778,8,64,0,160,2,7,9,0,0,5,0,1,1,1,1,2,4,2,16,0,24,3,0,0
"culture",127.666462,37.2935942,0,4167011800103040000,284200,12826,24,43,0,210,2,7,6,0,2,2,0,0,7,2,0,1,1,1,7,9,35,4,0,0
"culture",127.6534,37.29965,0,4167012000105880064,116100,1557,18,43,0,920,2,7,12,1,8,3,2,5,8,3,1,6,13,1,30,23,108,18,0,1
"culture",127.4491461,37.5095313,1,4183034021109029888,30300,1016,2,62,0,970,1,7,12,1,4,0,0,0,1,6,2,2,26,0,0,6,30,6,0,0
"culture",127.424379,37.279731,0,4150010200103779840,46000,1164,2,43,0,930,3,7,6,0,0,4,0,3,12,3,1,5,5,1,9,1,29,5,1,2
